Date,Load
01/01/2023 00.00,344.64
01/01/2023 00.05,369.40002
01/01/2023 00.10,376.48
01/01/2023 00.15,367.64
01/01/2023 00.20,372.144
01/01/2023 00.25,367.1467
01/01/2023 00.30,366.72
01/01/2023 00.35,358.13333
01/01/2023 00.40,350.12
01/01/2023 00.45,350.28003
01/01/2023 00.50,342.33334
01/01/2023 00.55,350.49332
01/01/2023 01.00,350.81332
01/01/2023 01.05,350.49332
01/01/2023 01.10,358.69333
01/01/2023 01.15,359.06665
01/01/2023 01.20,359.31998
01/01/2023 01.25,351.6
01/01/2023 01.30,359.48
01/01/2023 01.35,360.0267
01/01/2023 01.40,351.93335
01/01/2023 01.45,359.88
01/01/2023 01.50,359.6
01/01/2023 01.55,359.49332
01/01/2023 02.00,359.25333
01/01/2023 02.05,358.94666
01/01/2023 02.10,358.80002
01/01/2023 02.15,358.66666
01/01/2023 02.20,358.57333
01/01/2023 02.25,358.30667
01/01/2023 02.30,358.44003
01/01/2023 02.35,358.0
01/01/2023 02.40,357.98666
01/01/2023 02.45,349.93335
01/01/2023 02.50,357.62668
01/01/2023 02.55,357.42667
01/01/2023 03.00,349.06668
01/01/2023 03.05,357.34668
01/01/2023 03.10,357.52002
01/01/2023 03.15,361.14664
01/01/2023 03.20,353.3867
01/01/2023 03.25,353.65335
01/01/2023 03.30,361.50668
01/01/2023 03.35,361.36
01/01/2023 03.40,361.43997
01/01/2023 03.45,361.6133
01/01/2023 03.50,369.32004
01/01/2023 03.55,368.81335
01/01/2023 04.00,361.36002
01/01/2023 04.05,361.13333
01/01/2023 04.10,364.68002
01/01/2023 04.15,366.30667
01/01/2023 04.20,366.01334
01/01/2023 04.25,373.89334
01/01/2023 04.30,381.86667
01/01/2023 04.35,374.43997
01/01/2023 04.40,377.8933
01/01/2023 04.45,380.01334
01/01/2023 04.50,380.12003
01/01/2023 04.55,380.04
01/01/2023 05.00,371.80002
01/01/2023 05.05,379.1467
01/01/2023 05.10,379.13333
01/01/2023 05.15,379.06665
01/01/2023 05.20,371.41333
01/01/2023 05.25,371.70667
01/01/2023 05.30,379.38663
01/01/2023 05.35,379.54666
01/01/2023 05.40,379.56003
01/01/2023 05.45,379.33334
01/01/2023 05.50,379.34668
01/01/2023 05.55,379.30667
01/01/2023 06.00,378.94666
01/01/2023 06.05,378.70667
01/01/2023 06.10,379.30664
01/01/2023 06.15,379.6
01/01/2023 06.20,379.66666
01/01/2023 06.25,379.6267
01/01/2023 06.30,380.08
01/01/2023 06.35,380.08
01/01/2023 06.40,379.25333
01/01/2023 06.45,378.7067
01/01/2023 06.50,385.28003
01/01/2023 06.55,383.64
01/01/2023 07.00,374.50668
01/01/2023 07.05,372.53333
01/01/2023 07.10,370.45334
01/01/2023 07.15,367.90002
01/01/2023 07.20,365.30005
01/01/2023 07.25,363.06003
01/01/2023 07.30,367.3933
01/01/2023 07.35,363.74
01/01/2023 07.40,355.59335
01/01/2023 07.45,344.12
01/01/2023 07.50,332.92
01/01/2023 07.55,315.42667
01/01/2023 08.00,289.47998
01/01/2023 08.05,275.03998
01/01/2023 08.10,262.56003
01/01/2023 08.15,251.25334
01/01/2023 08.20,239.94667
01/01/2023 08.25,233.84001
01/01/2023 08.30,232.68
01/01/2023 08.35,219.52
01/01/2023 08.40,206.70667
01/01/2023 08.45,194.33333
01/01/2023 08.50,180.94667
01/01/2023 08.55,166.62668
01/01/2023 09.00,154.82668
01/01/2023 09.05,143.64
01/01/2023 09.10,132.54668
01/01/2023 09.15,122.21334
01/01/2023 09.20,112.16
01/01/2023 09.25,102.013336
01/01/2023 09.30,92.80001
01/01/2023 09.35,82.973335
01/01/2023 09.40,74.42667
01/01/2023 09.45,66.29333
01/01/2023 09.50,58.186665
01/01/2023 09.55,51.933334
01/01/2023 10.00,45.573334
01/01/2023 10.05,39.853336
01/01/2023 10.10,34.04
01/01/2023 10.15,27.786667
01/01/2023 10.20,22.039999
01/01/2023 10.25,15.866668
01/01/2023 10.30,10.666666
01/01/2023 10.35,6.986666
01/01/2023 10.40,4.706667
01/01/2023 10.45,2.9866667
01/01/2023 10.50,2.4666667
01/01/2023 10.55,2.1733334
01/01/2023 11.00,2.0
01/01/2023 11.05,1.3066667
01/01/2023 11.10,0.49333334
01/01/2023 11.15,0.49333334
01/01/2023 11.20,0.05333333
01/01/2023 11.25,0.30666664
01/01/2023 11.30,0.37333333
01/01/2023 11.35,0.42666665
01/01/2023 11.40,0.42666665
01/01/2023 11.45,0.42666665
01/01/2023 11.50,0.37333333
01/01/2023 11.55,0.120000005
01/01/2023 12.00,0.05333333
01/01/2023 12.05,0.0
01/01/2023 12.10,0.0
01/01/2023 12.15,0.0
01/01/2023 12.20,0.0
01/01/2023 12.25,0.0
01/01/2023 12.30,0.0
01/01/2023 12.35,0.0
01/01/2023 12.40,0.0
01/01/2023 12.45,0.04
01/01/2023 12.50,0.04
01/01/2023 12.55,0.04
01/01/2023 13.00,0.04
01/01/2023 13.05,0.04
01/01/2023 13.10,0.04
01/01/2023 13.15,0.25333333
01/01/2023 13.20,0.42666665
01/01/2023 13.25,0.42666665
01/01/2023 13.30,1.0666666
01/01/2023 13.35,1.0666666
01/01/2023 13.40,1.7999998
01/01/2023 13.45,2.1200001
01/01/2023 13.50,3.16
01/01/2023 13.55,3.16
01/01/2023 14.00,3.1200001
01/01/2023 14.05,5.0800004
01/01/2023 14.10,7.08
01/01/2023 14.15,9.706667
01/01/2023 14.20,12.453334
01/01/2023 14.25,16.573334
01/01/2023 14.30,21.373335
01/01/2023 14.35,25.853333
01/01/2023 14.40,30.64
01/01/2023 14.45,36.546665
01/01/2023 14.50,43.24
01/01/2023 14.55,50.61333
01/01/2023 15.00,58.693333
01/01/2023 15.05,66.50666
01/01/2023 15.10,75.77333
01/01/2023 15.15,84.666664
01/01/2023 15.20,94.05334
