Date,Rate A,Rate B,Rate C,Load
01/01/2025 00.00,0.0,0.0,55.2,55.2
01/01/2025 00.15,0.0,0.0,51.6,51.6
01/01/2025 00.30,0.0,0.0,56.4,56.4
01/01/2025 00.45,0.0,0.0,62.4,62.4
01/01/2025 01.00,0.0,0.0,57.6,57.6
01/01/2025 01.15,0.0,0.0,55.2,55.2
01/01/2025 01.30,0.0,0.0,58.8,58.8
01/01/2025 01.45,0.0,0.0,64.8,64.8
01/01/2025 02.00,0.0,0.0,66.0,66.0
01/01/2025 02.15,0.0,0.0,66.0,66.0
01/01/2025 02.30,0.0,0.0,68.4,68.4
01/01/2025 02.45,0.0,0.0,67.2,67.2
01/01/2025 03.00,0.0,0.0,69.6,69.6
01/01/2025 03.15,0.0,0.0,62.4,62.4
01/01/2025 03.30,0.0,0.0,60.0,60.0
01/01/2025 03.45,0.0,0.0,60.0,60.0
01/01/2025 04.00,0.0,0.0,66.0,66.0
01/01/2025 04.15,0.0,0.0,61.2,61.2
01/01/2025 04.30,0.0,0.0,62.4,62.4
01/01/2025 04.45,0.0,0.0,66.0,66.0
01/01/2025 05.00,0.0,0.0,63.6,63.6
01/01/2025 05.15,0.0,0.0,62.4,62.4
01/01/2025 05.30,0.0,0.0,61.2,61.2
01/01/2025 05.45,0.0,0.0,61.2,61.2
01/01/2025 06.00,0.0,0.0,68.4,68.4
01/01/2025 06.15,0.0,0.0,70.8,70.8
01/01/2025 06.30,0.0,0.0,70.8,70.8
01/01/2025 06.45,0.0,0.0,73.2,73.2
01/01/2025 07.00,0.0,0.0,67.2,67.2
01/01/2025 07.15,0.0,0.0,72.0,72.0
01/01/2025 07.30,0.0,0.0,76.8,76.8
01/01/2025 07.45,0.0,0.0,72.0,72.0
01/01/2025 08.00,0.0,0.0,78.0,78.0
01/01/2025 08.15,0.0,0.0,72.0,72.0
01/01/2025 08.30,0.0,0.0,67.2,67.2
01/01/2025 08.45,0.0,0.0,61.2,61.2
01/01/2025 09.00,0.0,0.0,74.4,74.4
01/01/2025 09.15,0.0,0.0,70.8,70.8
01/01/2025 09.30,0.0,0.0,73.2,73.2
01/01/2025 09.45,0.0,0.0,86.4,86.4
01/01/2025 10.00,0.0,0.0,80.4,80.4
01/01/2025 10.15,0.0,0.0,90.0,90.0
01/01/2025 10.30,0.0,0.0,90.0,90.0
01/01/2025 10.45,0.0,0.0,82.8,82.8
01/01/2025 11.00,0.0,0.0,82.8,82.8
01/01/2025 11.15,0.0,0.0,85.2,85.2
01/01/2025 11.30,0.0,0.0,75.6,75.6
01/01/2025 11.45,0.0,0.0,73.2,73.2
01/01/2025 12.00,0.0,0.0,66.0,66.0
01/01/2025 12.15,0.0,0.0,66.0,66.0
01/01/2025 12.30,0.0,0.0,55.2,55.2
01/01/2025 12.45,0.0,0.0,57.6,57.6
01/01/2025 13.00,0.0,0.0,63.6,63.6
01/01/2025 13.15,0.0,0.0,58.8,58.8
01/01/2025 13.30,0.0,0.0,57.6,57.6
01/01/2025 13.45,0.0,0.0,66.0,66.0
01/01/2025 14.00,0.0,0.0,67.2,67.2
01/01/2025 14.15,0.0,0.0,70.8,70.8
01/01/2025 14.30,0.0,0.0,66.0,66.0
01/01/2025 14.45,0.0,0.0,60.0,60.0
01/01/2025 15.00,0.0,0.0,69.6,69.6
01/01/2025 15.15,0.0,0.0,73.2,73.2
01/01/2025 15.30,0.0,0.0,72.0,72.0
01/01/2025 15.45,0.0,0.0,63.6,63.6
01/01/2025 16.00,0.0,0.0,68.4,68.4
01/01/2025 16.15,0.0,0.0,75.6,75.6
01/01/2025 16.30,0.0,0.0,67.2,67.2
01/01/2025 16.45,0.0,0.0,62.4,62.4
01/01/2025 17.00,0.0,0.0,61.2,61.2
01/01/2025 17.15,0.0,0.0,57.6,57.6
01/01/2025 17.30,0.0,0.0,61.2,61.2
01/01/2025 17.45,0.0,0.0,64.8,64.8
01/01/2025 18.00,0.0,0.0,55.2,55.2
01/01/2025 18.15,0.0,0.0,62.4,62.4
01/01/2025 18.30,0.0,0.0,61.2,61.2
01/01/2025 18.45,0.0,0.0,68.4,68.4
01/01/2025 19.00,0.0,0.0,58.8,58.8
01/01/2025 19.15,0.0,0.0,54.0,54.0
01/01/2025 19.30,0.0,0.0,68.4,68.4
01/01/2025 19.45,0.0,0.0,68.4,68.4
01/01/2025 20.00,0.0,0.0,56.4,56.4
01/01/2025 20.15,0.0,0.0,57.6,57.6
01/01/2025 20.30,0.0,0.0,54.0,54.0
01/01/2025 20.45,0.0,0.0,58.8,58.8
01/01/2025 21.00,0.0,0.0,60.0,60.0
01/01/2025 21.15,0.0,0.0,58.8,58.8
01/01/2025 21.30,0.0,0.0,57.6,57.6
01/01/2025 21.45,0.0,0.0,58.8,58.8
01/01/2025 22.00,0.0,0.0,57.6,57.6
01/01/2025 22.15,0.0,0.0,63.6,63.6
01/01/2025 22.30,0.0,0.0,67.2,67.2
01/01/2025 22.45,0.0,0.0,69.6,69.6
01/01/2025 23.00,0.0,0.0,79.2,79.2
01/01/2025 23.15,0.0,0.0,87.6,87.6
01/01/2025 23.30,0.0,0.0,76.8,76.8
01/01/2025 23.45,0.0,0.0,78.0,78.0
02/01/2025 00.00,0.0,85.2,0.0,85.2
02/01/2025 00.15,0.0,75.6,0.0,75.6
02/01/2025 00.30,0.0,72.0,0.0,72.0
02/01/2025 00.45,0.0,70.8,0.0,70.8
02/01/2025 01.00,0.0,74.4,0.0,74.4
02/01/2025 01.15,0.0,69.6,0.0,69.6
02/01/2025 01.30,0.0,68.4,0.0,68.4
02/01/2025 01.45,0.0,63.6,0.0,63.6
02/01/2025 02.00,0.0,57.6,0.0,57.6
02/01/2025 02.15,0.0,60.0,0.0,60.0
02/01/2025 02.30,0.0,56.4,0.0,56.4
02/01/2025 02.45,0.0,57.6,0.0,57.6
02/01/2025 03.00,0.0,55.2,0.0,55.2
02/01/2025 03.15,0.0,52.8,0.0,52.8
02/01/2025 03.30,0.0,51.6,0.0,51.6
02/01/2025 03.45,0.0,50.4,0.0,50.4
02/01/2025 04.00,0.0,51.6,0.0,51.6
02/01/2025 04.15,0.0,49.2,0.0,49.2
02/01/2025 04.30,0.0,52.8,0.0,52.8
02/01/2025 04.45,0.0,54.0,0.0,54.0
02/01/2025 05.00,0.0,54.0,0.0,54.0
02/01/2025 05.15,0.0,57.6,0.0,57.6
02/01/2025 05.30,0.0,57.6,0.0,57.6
02/01/2025 05.45,0.0,56.4,0.0,56.4
02/01/2025 06.00,0.0,63.6,0.0,63.6
02/01/2025 06.15,0.0,58.8,0.0,58.8
02/01/2025 06.30,0.0,60.0,0.0,60.0
02/01/2025 06.45,0.0,63.6,0.0,63.6
02/01/2025 07.00,0.0,63.6,0.0,63.6
02/01/2025 07.15,0.0,66.0,0.0,66.0
02/01/2025 07.30,0.0,75.6,0.0,75.6
02/01/2025 07.45,0.0,79.2,0.0,79.2
02/01/2025 08.00,0.0,79.2,0.0,79.2
02/01/2025 08.15,0.0,90.0,0.0,90.0
02/01/2025 08.30,0.0,82.8,0.0,82.8
02/01/2025 08.45,0.0,78.0,0.0,78.0
02/01/2025 09.00,84.0,0.0,0.0,84.0
02/01/2025 09.15,90.0,0.0,0.0,90.0
02/01/2025 09.30,84.0,0.0,0.0,84.0
02/01/2025 09.45,78.0,0.0,0.0,78.0
02/01/2025 10.00,78.0,0.0,0.0,78.0
02/01/2025 10.15,82.8,0.0,0.0,82.8
02/01/2025 10.30,81.6,0.0,0.0,81.6
02/01/2025 10.45,90.0,0.0,0.0,90.0
02/01/2025 11.00,96.0,0.0,0.0,96.0
02/01/2025 11.15,91.2,0.0,0.0,91.2
02/01/2025 11.30,88.8,0.0,0.0,88.8
02/01/2025 11.45,63.6,0.0,0.0,63.6
02/01/2025 12.00,62.4,0.0,0.0,62.4
02/01/2025 12.15,62.4,0.0,0.0,62.4
02/01/2025 12.30,57.6,0.0,0.0,57.6
02/01/2025 12.45,56.4,0.0,0.0,56.4
02/01/2025 13.00,56.4,0.0,0.0,56.4
02/01/2025 13.15,57.6,0.0,0.0,57.6
02/01/2025 13.30,61.2,0.0,0.0,61.2
02/01/2025 13.45,61.2,0.0,0.0,61.2
02/01/2025 14.00,73.2,0.0,0.0,73.2
02/01/2025 14.15,76.8,0.0,0.0,76.8
02/01/2025 14.30,73.2,0.0,0.0,73.2
02/01/2025 14.45,81.6,0.0,0.0,81.6
02/01/2025 15.00,75.6,0.0,0.0,75.6
02/01/2025 15.15,68.4,0.0,0.0,68.4
02/01/2025 15.30,56.4,0.0,0.0,56.4
02/01/2025 15.45,63.6,0.0,0.0,63.6
