Date,Load
1/1/2024 0.00,0
1/1/2024 1.00,0
1/1/2024 2.00,0
1/1/2024 3.00,0
1/1/2024 4.00,0
1/1/2024 5.00,0
1/1/2024 6.00,0
1/1/2024 7.00,689.58
1/1/2024 8.00,625.27
1/1/2024 9.00,560.96
1/1/2024 10.00,614.07
1/1/2024 11.00,564.24
1/1/2024 12.00,548.93
1/1/2024 13.00,533.62
1/1/2024 14.00,569.5
1/1/2024 15.00,568.84
1/1/2024 16.00,568.18
1/1/2024 17.00,532.02
1/1/2024 18.00,0
1/1/2024 19.00,0
1/1/2024 20.00,0
1/1/2024 21.00,0
1/1/2024 22.00,0
1/1/2024 23.00,0
2/1/2024 0.00,0
2/1/2024 1.00,0
2/1/2024 2.00,0
2/1/2024 3.00,0
2/1/2024 4.00,0
2/1/2024 5.00,0
2/1/2024 6.00,235.51
2/1/2024 7.00,471.02
2/1/2024 8.00,579.14
2/1/2024 9.00,576.17
2/1/2024 10.00,570.75
2/1/2024 11.00,565.33
2/1/2024 12.00,569.27
2/1/2024 13.00,577.94
2/1/2024 14.00,567.875
2/1/2024 15.00,557.81
2/1/2024 16.00,545.31
2/1/2024 17.00,74.65
2/1/2024 18.00,37.325
2/1/2024 19.00,0
2/1/2024 20.00,0
2/1/2024 21.00,0
2/1/2024 22.00,0
2/1/2024 23.00,0
3/1/2024 0.00,0
3/1/2024 1.00,0
3/1/2024 2.00,0
3/1/2024 3.00,0
3/1/2024 4.00,0
3/1/2024 5.00,0
3/1/2024 6.00,0
3/1/2024 7.00,468.46
3/1/2024 8.00,625.63
3/1/2024 9.00,616.615
3/1/2024 10.00,607.6
3/1/2024 11.00,635.91
3/1/2024 12.00,596.96
3/1/2024 13.00,594.345
3/1/2024 14.00,591.73
3/1/2024 15.00,576.67
3/1/2024 16.00,564.6
3/1/2024 17.00,282.3
3/1/2024 18.00,0
3/1/2024 19.00,0
3/1/2024 20.00,0
3/1/2024 21.00,0
3/1/2024 22.00,0
3/1/2024 23.00,0
4/1/2024 0.00,0
4/1/2024 1.00,0
4/1/2024 2.00,0
4/1/2024 3.00,0
4/1/2024 4.00,0
4/1/2024 5.00,0
4/1/2024 6.00,0
4/1/2024 7.00,938.04
4/1/2024 8.00,842.115
4/1/2024 9.00,746.19
4/1/2024 10.00,712.69
4/1/2024 11.00,699.1
4/1/2024 12.00,715.96
4/1/2024 13.00,732.82
4/1/2024 14.00,722.93
4/1/2024 15.00,703.53
4/1/2024 16.00,650.28
4/1/2024 17.00,597.03
4/1/2024 18.00,218.09
4/1/2024 19.00,109.045
4/1/2024 20.00,0
4/1/2024 21.00,0
4/1/2024 22.00,0
4/1/2024 23.00,0
5/1/2024 0.00,0
5/1/2024 1.00,0
5/1/2024 2.00,0
5/1/2024 3.00,0
5/1/2024 4.00,0
5/1/2024 5.00,0
5/1/2024 6.00,468.88
5/1/2024 7.00,554.23
5/1/2024 8.00,639.58
5/1/2024 9.00,597.74
