Date,Load
01/01/2024 00.00,144
01/01/2024 00.15,126
01/01/2024 00.30,126
01/01/2024 00.45,126
01/01/2024 01.00,138
01/01/2024 01.15,138
01/01/2024 01.30,126
01/01/2024 01.45,126
01/01/2024 02.00,156
01/01/2024 02.15,168
01/01/2024 02.30,168
01/01/2024 02.45,174
01/01/2024 03.00,156
01/01/2024 03.15,180
01/01/2024 03.30,168
01/01/2024 03.45,168
01/01/2024 04.00,174
01/01/2024 04.15,174
01/01/2024 04.30,174
01/01/2024 04.45,186
01/01/2024 05.00,174
01/01/2024 05.15,186
01/01/2024 05.30,174
01/01/2024 05.45,162
01/01/2024 06.00,144
01/01/2024 06.15,108
01/01/2024 06.30,108
01/01/2024 06.45,72
01/01/2024 07.00,6
01/01/2024 07.15,0
01/01/2024 07.30,0
01/01/2024 07.45,0
01/01/2024 08.00,0
01/01/2024 08.15,0
01/01/2024 08.30,0
01/01/2024 08.45,0
01/01/2024 09.00,0
01/01/2024 09.15,0
01/01/2024 09.30,0
01/01/2024 09.45,0
01/01/2024 10.00,0
01/01/2024 10.15,0
01/01/2024 10.30,0
01/01/2024 10.45,0
01/01/2024 11.00,0
01/01/2024 11.15,0
01/01/2024 11.30,0
01/01/2024 11.45,0
01/01/2024 12.00,0
01/01/2024 12.15,0
01/01/2024 12.30,0
01/01/2024 12.45,0
01/01/2024 13.00,0
01/01/2024 13.15,0
01/01/2024 13.30,0
01/01/2024 13.45,0
01/01/2024 14.00,0
01/01/2024 14.15,0
01/01/2024 14.30,0
01/01/2024 14.45,0
01/01/2024 15.00,0
01/01/2024 15.15,6
01/01/2024 15.30,12
01/01/2024 15.45,6
01/01/2024 16.00,0
01/01/2024 16.15,0
01/01/2024 16.30,0
01/01/2024 16.45,12
01/01/2024 17.00,54
01/01/2024 17.15,72
01/01/2024 17.30,126
01/01/2024 17.45,162
01/01/2024 18.00,150
01/01/2024 18.15,126
01/01/2024 18.30,126
01/01/2024 18.45,126
01/01/2024 19.00,126
01/01/2024 19.15,126
01/01/2024 19.30,126
01/01/2024 19.45,126
01/01/2024 20.00,144
01/01/2024 20.15,168
01/01/2024 20.30,180
01/01/2024 20.45,162
01/01/2024 21.00,168
01/01/2024 21.15,162
01/01/2024 21.30,168
01/01/2024 21.45,168
01/01/2024 22.00,162
01/01/2024 22.15,168
01/01/2024 22.30,180
01/01/2024 22.45,162
01/01/2024 23.00,168
01/01/2024 23.15,180
01/01/2024 23.30,162
01/01/2024 23.45,168
02/01/2024 00.00,138
02/01/2024 00.15,114
02/01/2024 00.30,126
02/01/2024 00.45,138
02/01/2024 01.00,114
02/01/2024 01.15,114
02/01/2024 01.30,114
02/01/2024 01.45,126
02/01/2024 02.00,132
02/01/2024 02.15,168
02/01/2024 02.30,168
02/01/2024 02.45,156
02/01/2024 03.00,162
02/01/2024 03.15,156
02/01/2024 03.30,156
02/01/2024 03.45,156
02/01/2024 04.00,174
02/01/2024 04.15,162
02/01/2024 04.30,174
02/01/2024 04.45,168
02/01/2024 05.00,174
02/01/2024 05.15,192
02/01/2024 05.30,162
02/01/2024 05.45,180
02/01/2024 06.00,138
02/01/2024 06.15,108
02/01/2024 06.30,108
02/01/2024 06.45,60
02/01/2024 07.00,36
02/01/2024 07.15,0
02/01/2024 07.30,0
02/01/2024 07.45,0
02/01/2024 08.00,0
02/01/2024 08.15,0
02/01/2024 08.30,0
02/01/2024 08.45,6
02/01/2024 09.00,0
02/01/2024 09.15,0
02/01/2024 09.30,0
02/01/2024 09.45,12
02/01/2024 10.00,0
02/01/2024 10.15,0
02/01/2024 10.30,0
02/01/2024 10.45,0
02/01/2024 11.00,0
02/01/2024 11.15,0
02/01/2024 11.30,0
02/01/2024 11.45,0
02/01/2024 12.00,0
02/01/2024 12.15,0
02/01/2024 12.30,0
02/01/2024 12.45,6
02/01/2024 13.00,0
02/01/2024 13.15,6
02/01/2024 13.30,6
02/01/2024 13.45,6
02/01/2024 14.00,6
02/01/2024 14.15,12
02/01/2024 14.30,6
02/01/2024 14.45,0
02/01/2024 15.00,6
02/01/2024 15.15,6
02/01/2024 15.30,12
02/01/2024 15.45,30
02/01/2024 16.00,150
02/01/2024 16.15,150
02/01/2024 16.30,162
02/01/2024 16.45,216
02/01/2024 17.00,102
02/01/2024 17.15,204
02/01/2024 17.30,246
02/01/2024 17.45,282
02/01/2024 18.00,228
02/01/2024 18.15,240
02/01/2024 18.30,252
02/01/2024 18.45,288
02/01/2024 19.00,312
02/01/2024 19.15,330
02/01/2024 19.30,354
02/01/2024 19.45,390
02/01/2024 20.00,390
02/01/2024 20.15,552
02/01/2024 20.30,714
02/01/2024 20.45,1320
02/01/2024 21.00,1980
02/01/2024 21.15,2694
02/01/2024 21.30,3264
02/01/2024 21.45,3354
02/01/2024 22.00,3348
02/01/2024 22.15,3300
02/01/2024 22.30,3552
02/01/2024 22.45,3420
02/01/2024 23.00,3672
02/01/2024 23.15,3750
02/01/2024 23.30,3558
02/01/2024 23.45,2964
03/01/2024 00.00,2670
03/01/2024 00.15,2568
03/01/2024 00.30,2214
03/01/2024 00.45,2196
03/01/2024 01.00,2340
03/01/2024 01.15,2472
03/01/2024 01.30,2298
03/01/2024 01.45,2160
03/01/2024 02.00,2160
03/01/2024 02.15,2244
03/01/2024 02.30,2466
03/01/2024 02.45,2592
03/01/2024 03.00,2178
03/01/2024 03.15,2040
03/01/2024 03.30,2022
03/01/2024 03.45,2154
03/01/2024 04.00,2196
03/01/2024 04.15,2268
03/01/2024 04.30,2292
03/01/2024 04.45,2364
03/01/2024 05.00,2448
03/01/2024 05.15,2250
03/01/2024 05.30,2520
03/01/2024 05.45,2652
03/01/2024 06.00,2898
03/01/2024 06.15,3264
03/01/2024 06.30,2874
03/01/2024 06.45,2586
03/01/2024 07.00,2256
03/01/2024 07.15,1752
03/01/2024 07.30,1302
03/01/2024 07.45,1044
03/01/2024 08.00,1422
03/01/2024 08.15,1710
03/01/2024 08.30,1368
03/01/2024 08.45,1224
03/01/2024 09.00,942
03/01/2024 09.15,1452
03/01/2024 09.30,618
03/01/2024 09.45,1224
03/01/2024 10.00,1152
03/01/2024 10.15,1122
03/01/2024 10.30,1116
03/01/2024 10.45,696
03/01/2024 11.00,588
03/01/2024 11.15,1212
03/01/2024 11.30,1212
03/01/2024 11.45,1146
03/01/2024 12.00,1050
03/01/2024 12.15,1032
03/01/2024 12.30,810
03/01/2024 12.45,756
03/01/2024 13.00,930
03/01/2024 13.15,1440
03/01/2024 13.30,1278
03/01/2024 13.45,1320
03/01/2024 14.00,1182
03/01/2024 14.15,858
03/01/2024 14.30,1464
03/01/2024 14.45,1548
03/01/2024 15.00,1686
03/01/2024 15.15,1788
03/01/2024 15.30,1728
03/01/2024 15.45,1620
03/01/2024 16.00,2034
03/01/2024 16.15,1998
03/01/2024 16.30,2976
03/01/2024 16.45,3396
03/01/2024 17.00,3690
03/01/2024 17.15,3576
03/01/2024 17.30,3864
03/01/2024 17.45,4038
03/01/2024 18.00,4326
03/01/2024 18.15,4194
03/01/2024 18.30,3648
03/01/2024 18.45,2934
03/01/2024 19.00,2082
03/01/2024 19.15,2250
03/01/2024 19.30,2640
03/01/2024 19.45,2484
03/01/2024 20.00,1980
03/01/2024 20.15,2364
03/01/2024 20.30,3072
03/01/2024 20.45,3426
03/01/2024 21.00,3408
03/01/2024 21.15,3834
03/01/2024 21.30,4068
03/01/2024 21.45,4020
03/01/2024 22.00,4248
03/01/2024 22.15,4248
03/01/2024 22.30,3942
03/01/2024 22.45,3840
03/01/2024 23.00,3396
03/01/2024 23.15,3756
03/01/2024 23.30,3600
03/01/2024 23.45,3444
04/01/2024 00.00,3312
04/01/2024 00.15,3378
04/01/2024 00.30,3288
04/01/2024 00.45,3384
04/01/2024 01.00,3624
04/01/2024 01.15,3804
04/01/2024 01.30,4038
04/01/2024 01.45,3996
04/01/2024 02.00,3246
04/01/2024 02.15,3300
04/01/2024 02.30,3774
04/01/2024 02.45,3636
04/01/2024 03.00,3918
04/01/2024 03.15,3654
04/01/2024 03.30,3492
04/01/2024 03.45,3570
04/01/2024 04.00,3498
04/01/2024 04.15,3540
04/01/2024 04.30,3582
04/01/2024 04.45,3768
04/01/2024 05.00,3342
04/01/2024 05.15,2808
04/01/2024 05.30,2766
04/01/2024 05.45,3120
04/01/2024 06.00,3204
04/01/2024 06.15,3204
04/01/2024 06.30,3348
04/01/2024 06.45,3132
04/01/2024 07.00,2568
04/01/2024 07.15,2136
04/01/2024 07.30,2028
04/01/2024 07.45,1668
04/01/2024 08.00,1590
04/01/2024 08.15,2016
04/01/2024 08.30,2208
04/01/2024 08.45,2418
04/01/2024 09.00,3012
04/01/2024 09.15,2292
04/01/2024 09.30,1572
04/01/2024 09.45,1608
04/01/2024 10.00,1176
04/01/2024 10.15,1530
04/01/2024 10.30,1296
04/01/2024 10.45,1074
04/01/2024 11.00,1476
04/01/2024 11.15,1500
04/01/2024 11.30,1314
04/01/2024 11.45,816
04/01/2024 12.00,1014
04/01/2024 12.15,1200
04/01/2024 12.30,1200
04/01/2024 12.45,1194
04/01/2024 13.00,1068
04/01/2024 13.15,1206
04/01/2024 13.30,1092
04/01/2024 13.45,1404
04/01/2024 14.00,1902
04/01/2024 14.15,1380
04/01/2024 14.30,2628
04/01/2024 14.45,2370
04/01/2024 15.00,1254
04/01/2024 15.15,1032
04/01/2024 15.30,1698
04/01/2024 15.45,1608
04/01/2024 16.00,1182
04/01/2024 16.15,1254
04/01/2024 16.30,1422
04/01/2024 16.45,1728
04/01/2024 17.00,1998
04/01/2024 17.15,2010
04/01/2024 17.30,2340
04/01/2024 17.45,2520
04/01/2024 18.00,2172
04/01/2024 18.15,2394
04/01/2024 18.30,2244
04/01/2024 18.45,2196
04/01/2024 19.00,2136
04/01/2024 19.15,2028
04/01/2024 19.30,2178
04/01/2024 19.45,2118
04/01/2024 20.00,2430
04/01/2024 20.15,2856
04/01/2024 20.30,3426
04/01/2024 20.45,3048
04/01/2024 21.00,3510
04/01/2024 21.15,3540
04/01/2024 21.30,3840
04/01/2024 21.45,3348
04/01/2024 22.00,3156
04/01/2024 22.15,3072
04/01/2024 22.30,3348
04/01/2024 22.45,3450
04/01/2024 23.00,3522
04/01/2024 23.15,3396
04/01/2024 23.30,3462
04/01/2024 23.45,3510
05/01/2024 00.00,3474
05/01/2024 00.15,3474
05/01/2024 00.30,3510
05/01/2024 00.45,3486
05/01/2024 01.00,3420
05/01/2024 01.15,3318
05/01/2024 01.30,3474
05/01/2024 01.45,3900
05/01/2024 02.00,4056
05/01/2024 02.15,4188
05/01/2024 02.30,4122
05/01/2024 02.45,4392
05/01/2024 03.00,4398
05/01/2024 03.15,4206
05/01/2024 03.30,4272
05/01/2024 03.45,4278
05/01/2024 04.00,3720
05/01/2024 04.15,3738
05/01/2024 04.30,3678
05/01/2024 04.45,3834
05/01/2024 05.00,3732
05/01/2024 05.15,3732
05/01/2024 05.30,3762
05/01/2024 05.45,3552
05/01/2024 06.00,3060
05/01/2024 06.15,3102
05/01/2024 06.30,2862
05/01/2024 06.45,2646
05/01/2024 07.00,2778
05/01/2024 07.15,2538
05/01/2024 07.30,2718
05/01/2024 07.45,3228
05/01/2024 08.00,2706
05/01/2024 08.15,2256
05/01/2024 08.30,2424
05/01/2024 08.45,2484
05/01/2024 09.00,2286
05/01/2024 09.15,2082
05/01/2024 09.30,1872
05/01/2024 09.45,1752
05/01/2024 10.00,1548
05/01/2024 10.15,1824
05/01/2024 10.30,1626
05/01/2024 10.45,1356
05/01/2024 11.00,1116
05/01/2024 11.15,834
05/01/2024 11.30,822
05/01/2024 11.45,1116
05/01/2024 12.00,1152
05/01/2024 12.15,1482
05/01/2024 12.30,1494
05/01/2024 12.45,1494
05/01/2024 13.00,1224
05/01/2024 13.15,1800
05/01/2024 13.30,1776
05/01/2024 13.45,1776
05/01/2024 14.00,1968
05/01/2024 14.15,1968
05/01/2024 14.30,2154
05/01/2024 14.45,1860
05/01/2024 15.00,1980
05/01/2024 15.15,2154
05/01/2024 15.30,1938
05/01/2024 15.45,2394
05/01/2024 16.00,2394
05/01/2024 16.15,2652
05/01/2024 16.30,2784
05/01/2024 16.45,2898
05/01/2024 17.00,3180
05/01/2024 17.15,3348
05/01/2024 17.30,3414
05/01/2024 17.45,3828
05/01/2024 18.00,3804
05/01/2024 18.15,3600
05/01/2024 18.30,3912
05/01/2024 18.45,4152
05/01/2024 19.00,4386
05/01/2024 19.15,3666
05/01/2024 19.30,3462
05/01/2024 19.45,3342
05/01/2024 20.00,3204
05/01/2024 20.15,3162
05/01/2024 20.30,3744
05/01/2024 20.45,3708
05/01/2024 21.00,3408
05/01/2024 21.15,3552
05/01/2024 21.30,3384
05/01/2024 21.45,3540
05/01/2024 22.00,3306
05/01/2024 22.15,3474
05/01/2024 22.30,3204
05/01/2024 22.45,3444
05/01/2024 23.00,3252
05/01/2024 23.15,3282
05/01/2024 23.30,3294
05/01/2024 23.45,3540
06/01/2024 00.00,3354
06/01/2024 00.15,3504
06/01/2024 00.30,3372
06/01/2024 00.45,3408
06/01/2024 01.00,3444
06/01/2024 01.15,3462
06/01/2024 01.30,3408
06/01/2024 01.45,3390
06/01/2024 02.00,3438
06/01/2024 02.15,3282
06/01/2024 02.30,3384
06/01/2024 02.45,3396
06/01/2024 03.00,3246
06/01/2024 03.15,3276
06/01/2024 03.30,3132
06/01/2024 03.45,2964
06/01/2024 04.00,3408
06/01/2024 04.15,3396
06/01/2024 04.30,3228
06/01/2024 04.45,3264
06/01/2024 05.00,3072
06/01/2024 05.15,3288
06/01/2024 05.30,3396
06/01/2024 05.45,3228
06/01/2024 06.00,3468
06/01/2024 06.15,3216
06/01/2024 06.30,3150
06/01/2024 06.45,3126
06/01/2024 07.00,3204
06/01/2024 07.15,2922
06/01/2024 07.30,2640
06/01/2024 07.45,2736
06/01/2024 08.00,2178
06/01/2024 08.15,2328
06/01/2024 08.30,2454
06/01/2024 08.45,2004
06/01/2024 09.00,2058
06/01/2024 09.15,1266
06/01/2024 09.30,1404
06/01/2024 09.45,1806
06/01/2024 10.00,1344
06/01/2024 10.15,1338
06/01/2024 10.30,1572
06/01/2024 10.45,1326
06/01/2024 11.00,1260
06/01/2024 11.15,1158
06/01/2024 11.30,1356
06/01/2024 11.45,1224
06/01/2024 12.00,1404
06/01/2024 12.15,1884
06/01/2024 12.30,1344
06/01/2024 12.45,1398
06/01/2024 13.00,1326
06/01/2024 13.15,1476
06/01/2024 13.30,2226
06/01/2024 13.45,1578
06/01/2024 14.00,1584
06/01/2024 14.15,1608
06/01/2024 14.30,1500
06/01/2024 14.45,1770
06/01/2024 15.00,2064
06/01/2024 15.15,2484
06/01/2024 15.30,2664
06/01/2024 15.45,2538
06/01/2024 16.00,2538
06/01/2024 16.15,2628
06/01/2024 16.30,2952
06/01/2024 16.45,2988
06/01/2024 17.00,4056
06/01/2024 17.15,4314
06/01/2024 17.30,4152
06/01/2024 17.45,4152
06/01/2024 18.00,4158
06/01/2024 18.15,4068
06/01/2024 18.30,3552
06/01/2024 18.45,4044
06/01/2024 19.00,4362
06/01/2024 19.15,4356
06/01/2024 19.30,4308
06/01/2024 19.45,4116
06/01/2024 20.00,3666
06/01/2024 20.15,3594
06/01/2024 20.30,3774
06/01/2024 20.45,4200
06/01/2024 21.00,4392
06/01/2024 21.15,4554
06/01/2024 21.30,4572
06/01/2024 21.45,4452
06/01/2024 22.00,4488
06/01/2024 22.15,4512
06/01/2024 22.30,4512
06/01/2024 22.45,4176
06/01/2024 23.00,4302
06/01/2024 23.15,4344
06/01/2024 23.30,4266
06/01/2024 23.45,4350
07/01/2024 00.00,4494
07/01/2024 00.15,4368
07/01/2024 00.30,4464
07/01/2024 00.45,4248
07/01/2024 01.00,4026
07/01/2024 01.15,3642
07/01/2024 01.30,4092
07/01/2024 01.45,3870
07/01/2024 02.00,3804
07/01/2024 02.15,3558
07/01/2024 02.30,3672
07/01/2024 02.45,4284
07/01/2024 03.00,4536
07/01/2024 03.15,4500
07/01/2024 03.30,4368
07/01/2024 03.45,3948
07/01/2024 04.00,3606
07/01/2024 04.15,3780
07/01/2024 04.30,3732
07/01/2024 04.45,3768
07/01/2024 05.00,3660
07/01/2024 05.15,3744
07/01/2024 05.30,3738
07/01/2024 05.45,3996
07/01/2024 06.00,4608
07/01/2024 06.15,4494
07/01/2024 06.30,4410
07/01/2024 06.45,4146
07/01/2024 07.00,4164
07/01/2024 07.15,3882
07/01/2024 07.30,3192
07/01/2024 07.45,3132
