timestamp,load,day_of_week,month
2024-01-01,186,0,1
2024-01-02,3750,1,1
2024-01-03,4326,2,1
2024-01-04,4038,3,1
2024-01-05,4398,4,1
2024-01-06,4572,5,1
2024-01-07,4608,6,1
2024-01-08,4230,0,1
2024-01-09,4728,1,1
2024-01-10,4584,2,1
2024-01-11,4662,3,1
2024-01-12,4470,4,1
2024-01-13,4686,5,1
2024-01-14,4770,6,1
2024-01-15,4704,0,1
2024-01-16,4710,1,1
2024-01-17,4722,2,1
2024-01-18,4686,3,1
2024-01-19,2124,4,1
2024-01-20,4284,5,1
2024-01-21,4464,6,1
2024-01-22,3516,0,1
2024-01-23,360,1,1
2024-01-24,372,2,1
2024-01-25,360,3,1
2024-01-26,2868,4,1
2024-01-27,2880,5,1
2024-01-28,3168,6,1
2024-01-29,3150,0,1
2024-01-30,3138,1,1
2024-01-31,3024,2,1
2024-02-01,2952,3,2
2024-02-02,2082,4,2
2024-02-03,4230,5,2
2024-02-04,4536,6,2
2024-02-05,4362,0,2
2024-02-06,426,1,2
2024-02-07,2142,2,2
2024-02-08,2304,3,2
2024-02-09,2118,4,2
2024-02-10,2520,5,2
2024-02-11,2610,6,2
2024-02-12,2118,0,2
2024-02-13,2982,1,2
2024-02-14,3756,2,2
2024-02-15,4662,3,2
2024-02-16,4620,4,2
2024-02-17,4446,5,2
2024-02-18,2748,6,2
2024-02-19,2610,0,2
2024-02-20,2592,1,2
2024-02-21,2448,2,2
2024-02-22,2232,3,2
2024-02-23,2208,4,2
2024-02-24,2190,5,2
2024-02-25,2148,6,2
2024-02-26,2034,0,2
2024-02-27,330,1,2
2024-02-28,330,2,2
2024-02-29,312,3,2
2024-03-01,2418,4,3
2024-03-02,2910,5,3
2024-03-03,4428,6,3
2024-03-04,4818,0,3
2024-03-05,4644,1,3
2024-03-06,4734,2,3
2024-03-07,4644,3,3
2024-03-08,4572,4,3
2024-03-09,2352,5,3
2024-03-10,2112,6,3
2024-03-11,2124,0,3
2024-03-12,2130,1,3
2024-03-13,2718,2,3
2024-03-14,4722,3,3
2024-03-15,4662,4,3
2024-03-16,4746,5,3
2024-03-17,4788,6,3
2024-03-18,4506,0,3
2024-03-19,1980,1,3
2024-03-20,822,2,3
2024-03-21,834,3,3
2024-03-22,2394,4,3
2024-03-23,2538,5,3
2024-03-24,2664,6,3
2024-03-25,2688,0,3
2024-03-26,2616,1,3
2024-03-27,2232,2,3
