Years,Solar Degradation,Annual Energy (MW),O&M Cost,Revenue of Energy,Cash Flow
0,1.0,701.2500000000001,0.0,0.0,-18611320.0
1,0.98,687.2250000000001,0.0,2880221.8252500007,2880221.8252500007
2,0.9745,683.3681250000001,0.0,2864057.3150062505,2864057.3150062505
3,0.9690000000000001,679.5112500000001,409449.04,2847892.8047625003,2438443.7647625003
4,0.9635000000000001,675.6543750000002,409449.04,2831728.294518751,2422279.254518751
5,0.9580000000000002,671.7975000000002,409449.04,2815563.784275001,2406114.744275001
6,0.9525000000000002,667.9406250000002,409449.04,2799399.2740312507,2389950.2340312507
7,0.9470000000000003,664.0837500000004,409449.04,2783234.7637875015,2373785.7237875015
8,0.9415000000000003,660.2268750000004,409449.04,2767070.2535437513,2357621.2135437513
9,0.9360000000000004,656.3700000000003,409449.04,2750905.7433000016,2341456.7033000016
10,0.9305000000000004,652.5131250000005,2719449.04,2734741.233056252,15292.193056251854
11,0.9250000000000005,648.6562500000005,409449.04,2718576.7228125017,2309127.6828125017
12,0.9195000000000005,644.7993750000005,409449.04,2702412.212568752,2292963.172568752
13,0.9140000000000006,640.9425000000005,409449.04,2686247.702325002,2276798.662325002
14,0.9085000000000006,637.0856250000006,409449.04,2670083.1920812526,2260634.1520812525
15,0.9030000000000007,633.2287500000006,409449.04,2653918.6818375024,2244469.6418375024
16,0.8975000000000007,629.3718750000006,409449.04,2637754.171593752,2228305.131593752
17,0.8920000000000008,625.5150000000007,409449.04,2621589.661350003,2212140.621350003
18,0.8865000000000008,621.6581250000007,409449.04,2605425.151106253,2195976.1111062528
19,0.8810000000000009,617.8012500000007,409449.04,2589260.640862503,2179811.600862503
20,0.8755000000000009,613.9443750000008,409449.04,2573096.1306187534,2163647.0906187533
21,0.870000000000001,610.0875000000008,409449.04,2556931.620375003,2147482.580375003
22,0.864500000000001,606.2306250000008,409449.04,2540767.1101312535,2131318.0701312535
23,0.8590000000000011,602.3737500000008,409449.04,2524602.5998875033,2115153.5598875033
24,0.8535000000000011,598.5168750000009,409449.04,2508438.089643754,2098989.049643754
25,0.8480000000000012,594.6600000000009,409449.04,2492273.579400004,2082824.5394000039
