Description,Value,Duration
Installed Capacity,"8,000.00",kWp
Total Energy,"299,398.75",MW
Capital Investment,0.00,THB
Tariff Discount,50,%
During Contract,1st-20th,Year
Average Savings,"23,030,206.63",THB/Year
O&M Cost,"1,573,989.60",THB/Year
Inverter Replacement,"33,600,000.00",THB
Average Net Savings,"23,030,206.63",THB/Year
20-years Net Savings,"460,604,132.56",THB
After Contract,21st-25th,Year
Average Savings,"45,194,100.24",THB/Year
O&M Cost,"1,573,989.60",THB/Year
Average Net Savings,"43,620,110.64",THB/Year
5-years Net Savings,"218,100,553.18",THB
Total 25-Year Savings,"678,704,685.74",THB
