hour,average_load_kW,average_pv_kW,,
0,2483.454918,0,0,
1,2466.811475,0,0,
2,2418.377049,0,0,
3,2396.077869,0,0,
4,2382.012295,0,0,
5,2337.512295,0,0,
6,2222.438525,35.87548507,0,
7,1843.586066,479.917896,0,
8,1519.520492,1175.538696,0,
9,1436.356557,1755.929889,319.5733319,
10,1298.954918,2160.149708,861.1947897,
11,1226.053279,2425.390586,1199.337307,
12,1217.22541,2444.362006,1227.136596,
13,1364.717213,2326.875573,962.1583596,
14,1485.102459,2003.975016,518.8725572,
15,1701.290984,1538.162124,0,
16,2001.237705,911.0955914,0,
17,2245.516393,265.2009894,0,
18,2401.659836,4.391491944,0,
19,2360.143443,0,0,
20,2391.282787,0,0,
21,2532.536885,0,0,
22,2485.393443,0,0,
23,2461.909836,0,0,
,,,,
,,Excess Energy," 5,088.27 ",kWh
