hour,average_load_kW,average_pv_kW
0,2483.4549180327867,0.0
1,2466.811475409836,0.0
2,2418.377049180328,0.0
3,2396.0778688524592,0.0
4,2382.0122950819673,0.0
5,2337.5122950819673,0.0
6,2222.438524590164,599986.9262295082
7,1843.5860655737704,8026217.978142076
8,1519.5204918032787,19659883.278688524
9,1436.3565573770493,29366431.557377048
10,1298.954918032787,36126663.67486339
11,1226.0532786885246,40562591.40710382
12,1217.2254098360656,40879872.24043716
13,1364.717213114754,38915011.73497268
14,1485.1024590163934,33514775.0
15,1701.2909836065573,25724451.18852459
16,2001.2377049180327,15237297.62295082
17,2245.5163934426228,4435260.6284153005
18,2401.659836065574,73443.96174863388
19,2360.1434426229507,0.0
20,2391.282786885246,0.0
21,2532.5368852459014,0.0
22,2485.3934426229507,0.0
23,2461.909836065574,0.0
