hour,average_load_kW,average_pv_kW
0,2483.4549180327867,0.0
1,2466.811475409836,0.0
2,2418.377049180328,0.0
3,2396.0778688524592,0.0
4,2382.0122950819673,0.0
5,2337.5122950819673,0.0
6,2222.438524590164,1171.8494652920083
7,1843.5860655737704,15676.206988558743
8,1519.5204918032787,38398.20952868852
9,1436.3565573770493,57356.31163550205
10,1298.954918032787,70559.88998996756
11,1226.0532786885246,79223.81134199965
12,1217.2254098360656,79843.50046960382
13,1364.717213114754,76005.88229486851
14,1485.1024590163934,65458.544921875
15,1701.2909836065573,50243.06872758709
16,2001.2377049180327,29760.34691982582
17,2245.5163934426228,8662.618414873634
18,2401.659836065574,143.44523779030055
19,2360.1434426229507,0.0
20,2391.282786885246,0.0
21,2532.5368852459014,0.0
22,2485.3934426229507,0.0
23,2461.909836065574,0.0
