Years,Solar Degradation,Annual Energy (MW),O&M Cost,Revenue of Energy,Cash Flow
0,1.0,1024.9056830994236,0.0,0.0,-25233011.68421053
1,0.98,1004.407569437435,0.0,5162842.646641021,5162842.646641021
2,0.9745,998.7705881803884,0.0,5133867.509338444,5133867.509338444
3,0.9690000000000001,993.1336069233415,0.0,5104892.372035868,5104892.372035868
4,0.9635000000000001,987.4966256662947,0.0,5075917.23473329,5075917.23473329
5,0.9580000000000002,981.859644409248,504660.23368421063,5046942.0974307135,4542281.863746502
6,0.9525000000000002,976.2226631522011,504660.23368421063,5017966.960128136,4513306.726443925
7,0.9470000000000003,970.5856818951544,504660.23368421063,4988991.822825559,4484331.589141348
8,0.9415000000000003,964.9487006381077,504660.23368421063,4960016.685522983,4455356.451838772
9,0.9360000000000004,959.3117193810608,504660.23368421063,4931041.548220405,4426381.314536194
10,0.9305000000000004,953.674738124014,4704660.233684211,4902066.410917829,197406.17723361775
11,0.9250000000000005,948.0377568669674,504660.23368421063,4873091.273615252,4368431.039931041
12,0.9195000000000005,942.4007756099205,504660.23368421063,4844116.136312675,4339455.902628464
13,0.9140000000000006,936.7637943528737,504660.23368421063,4815140.999010098,4310480.765325887
14,0.9085000000000006,931.1268130958268,504660.23368421063,4786165.861707521,4281505.62802331
15,0.9030000000000007,925.4898318387802,504660.23368421063,4757190.724404944,4252530.490720733
16,0.8975000000000007,919.8528505817334,504660.23368421063,4728215.587102368,4223555.3534181565
17,0.8920000000000008,914.2158693246865,504660.23368421063,4699240.44979979,4194580.216115579
18,0.8865000000000008,908.5788880676398,504660.23368421063,4670265.3124972135,4165605.078813003
19,0.8810000000000009,902.9419068105931,504660.23368421063,4641290.175194637,4136629.9415104263
20,0.8755000000000009,897.3049255535462,504660.23368421063,4612315.037892059,4107654.804207849
21,0.870000000000001,891.6679442964995,504660.23368421063,4583339.900589483,4078679.6669052723
22,0.864500000000001,886.0309630394527,504660.23368421063,4554364.763286905,4049704.529602695
23,0.8590000000000011,880.393981782406,504660.23368421063,4525389.62598433,4020729.392300119
24,0.8535000000000011,874.7570005253592,504660.23368421063,4496414.488681752,3991754.2549975417
25,0.8480000000000012,869.1200192683124,504660.23368421063,4467439.351379176,3962779.117694965
