Date,Load,Load1,kWh,Load2,kWh,Load3,kWh
1/1/2022 0.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 1.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 2.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 3.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 4.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 5.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 6.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 7.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 8.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 9.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 10.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 11.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 12.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 13.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 14.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 15.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 16.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 17.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 18.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 19.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 20.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 21.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 22.00,0,0,417743.8,0,404556.4,0,128463.9
1/1/2022 23.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 0.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 1.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 2.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 3.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 4.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 5.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 6.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 7.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 8.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 9.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 10.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 11.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 12.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 13.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 14.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 15.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 16.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 17.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 18.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 19.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 20.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 21.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 22.00,0,0,417743.8,0,404556.4,0,128463.9
2/1/2022 23.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 0.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 1.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 2.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 3.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 4.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 5.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 6.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 7.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 8.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 9.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 10.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 11.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 12.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 13.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 14.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 15.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 16.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 17.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 18.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 19.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 20.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 21.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 22.00,0,0,417743.8,0,404556.4,0,128463.9
3/1/2022 23.00,0,0,417743.8,0,404556.4,0,128463.9
4/1/2022 0.00,0,0,417743.8,0,404556.4,0,128463.9
4/1/2022 1.00,0,0,417743.8,0,404556.4,0,128463.9
4/1/2022 2.00,0,0,417743.8,0,404556.4,0,128463.9
4/1/2022 3.00,0,0,417743.8,0,404556.4,0,128463.9
4/1/2022 4.00,0,0,417743.8,0,404556.4,0,128463.9
4/1/2022 5.00,0,0,417743.8,0,404556.4,0,128463.9
4/1/2022 6.00,0,0,417743.8,0,404556.4,0,128463.9
4/1/2022 7.00,65.59999985,65.59999985,417809.4,0,404556.4,0,128463.9
4/1/2022 8.00,65.6,65.6,417875,0,404556.4,0,128463.9
4/1/2022 9.00,115.0999999,115.0999999,417990.1,0,404556.4,0,128463.9
4/1/2022 10.00,115.1,115.1,418105.2,0,404556.4,0,128463.9
4/1/2022 11.00,114.95,114.95,418220.15,0,404556.4,0,128463.9
4/1/2022 12.00,114.95,114.95,418335.1,0,404556.4,0,128463.9
4/1/2022 13.00,115.5,115.5,418450.6,0,404556.4,0,128463.9
4/1/2022 14.00,115.5,115.5,418566.1,0,404556.4,0,128463.9
4/1/2022 15.00,115.1,115.1,418681.2,0,404556.4,0,128463.9
4/1/2022 16.00,115.1,115.1,418796.3,0,404556.4,0,128463.9
4/1/2022 17.00,49.75000016,49.75000016,418846.05,0,404556.4,0,128463.9
4/1/2022 18.00,49.74999999,49.74999999,418895.8,0,404556.4,0,128463.9
4/1/2022 19.00,1.3801E-07,1.3801E-07,418895.8,0,404556.4,0,128463.9
4/1/2022 20.00,0,0,418895.8,0,404556.4,0,128463.9
4/1/2022 21.00,0,0,418895.8,0,404556.4,0,128463.9
4/1/2022 22.00,0,0,418895.8,0,404556.4,0,128463.9
4/1/2022 23.00,0,0,418895.8,0,404556.4,0,128463.9
5/1/2022 0.00,0,0,418895.8,0,404556.4,0,128463.9
5/1/2022 1.00,0,0,418895.8,0,404556.4,0,128463.9
5/1/2022 2.00,0,0,418895.8,0,404556.4,0,128463.9
5/1/2022 3.00,0,0,418895.8,0,404556.4,0,128463.9
5/1/2022 4.00,0,0,418895.8,0,404556.4,0,128463.9
5/1/2022 5.00,0,0,418895.8,0,404556.4,0,128463.9
5/1/2022 6.00,0,0,418895.8,0,404556.4,0,128463.9
5/1/2022 7.00,59.24999982,59.24999982,418955.05,0,404556.4,0,128463.9
5/1/2022 8.00,59.25,59.25,419014.3,0,404556.4,0,128463.9
5/1/2022 9.00,115.1999998,115.1999998,419129.5,0,404556.4,0,128463.9
5/1/2022 10.00,115.2,115.2,419244.7,0,404556.4,0,128463.9
5/1/2022 11.00,114.85,114.85,419359.55,0,404556.4,0,128463.9
5/1/2022 12.00,114.85,114.85,419474.4,0,404556.4,0,128463.9
5/1/2022 13.00,115.25,115.25,419589.65,0,404556.4,0,128463.9
5/1/2022 14.00,115.25,115.25,419704.9,0,404556.4,0,128463.9
5/1/2022 15.00,115.15,115.15,419820.05,0,404556.4,0,128463.9
5/1/2022 16.00,115.15,115.15,419935.2,0,404556.4,0,128463.9
5/1/2022 17.00,54.4500002,54.4500002,419989.65,0,404556.4,0,128463.9
5/1/2022 18.00,54.45,54.45,420044.1,0,404556.4,0,128463.9
5/1/2022 19.00,1.80968E-07,1.80968E-07,420044.1,0,404556.4,0,128463.9
5/1/2022 20.00,0,0,420044.1,0,404556.4,0,128463.9
5/1/2022 21.00,0,0,420044.1,0,404556.4,0,128463.9
5/1/2022 22.00,0,0,420044.1,0,404556.4,0,128463.9
5/1/2022 23.00,0,0,420044.1,0,404556.4,0,128463.9
6/1/2022 0.00,0,0,420044.1,0,404556.4,0,128463.9
6/1/2022 1.00,0,0,420044.1,0,404556.4,0,128463.9
6/1/2022 2.00,0,0,420044.1,0,404556.4,0,128463.9
6/1/2022 3.00,0,0,420044.1,0,404556.4,0,128463.9
6/1/2022 4.00,0,0,420044.1,0,404556.4,0,128463.9
6/1/2022 5.00,0,0,420044.1,0,404556.4,0,128463.9
6/1/2022 6.00,0,0,420044.1,0,404556.4,0,128463.9
6/1/2022 7.00,60.24999978,60.24999978,420104.35,0,404556.4,0,128463.9
6/1/2022 8.00,60.25,60.25,420164.6,0,404556.4,0,128463.9
6/1/2022 9.00,115.0999998,115.0999998,420279.7,0,404556.4,0,128463.9
6/1/2022 10.00,115.1,115.1,420394.8,0,404556.4,0,128463.9
6/1/2022 11.00,114.95,114.95,420509.75,0,404556.4,0,128463.9
6/1/2022 12.00,114.95,114.95,420624.7,0,404556.4,0,128463.9
6/1/2022 13.00,115.45,115.45,420740.15,0,404556.4,0,128463.9
6/1/2022 14.00,115.45,115.45,420855.6,0,404556.4,0,128463.9
6/1/2022 15.00,115,115,420970.6,0,404556.4,0,128463.9
6/1/2022 16.00,115,115,421085.6,0,404556.4,0,128463.9
6/1/2022 17.00,54.50000023,54.50000023,421140.1,0,404556.4,0,128463.9
6/1/2022 18.00,54.5,54.5,421194.6,0,404556.4,0,128463.9
6/1/2022 19.00,2.11003E-07,2.11003E-07,421194.6,0,404556.4,0,128463.9
6/1/2022 20.00,0,0,421194.6,0,404556.4,0,128463.9
6/1/2022 21.00,0,0,421194.6,0,404556.4,0,128463.9
6/1/2022 22.00,0,0,421194.6,0,404556.4,0,128463.9
6/1/2022 23.00,0,0,421194.6,0,404556.4,0,128463.9
7/1/2022 0.00,0,0,421194.6,0,404556.4,0,128463.9
7/1/2022 1.00,0,0,421194.6,0,404556.4,0,128463.9
7/1/2022 2.00,0,0,421194.6,0,404556.4,0,128463.9
7/1/2022 3.00,0,0,421194.6,0,404556.4,0,128463.9
7/1/2022 4.00,0,0,421194.6,0,404556.4,0,128463.9
7/1/2022 5.00,0,0,421194.6,0,404556.4,0,128463.9
7/1/2022 6.00,0,0,421194.6,0,404556.4,0,128463.9
7/1/2022 7.00,57.99999974,57.99999974,421252.6,0,404556.4,0,128463.9
7/1/2022 8.00,58,58,421310.6,0,404556.4,0,128463.9
7/1/2022 9.00,103.9999998,103.9999998,421414.6,0,404556.4,0,128463.9
7/1/2022 10.00,104,104,421518.6,0,404556.4,0,128463.9
7/1/2022 11.00,115.0999999,115.0999999,421633.7,0,404556.4,0,128463.9
7/1/2022 12.00,115.1,115.1,421748.8,0,404556.4,0,128463.9
7/1/2022 13.00,115.05,115.05,421863.85,0,404556.4,0,128463.9
7/1/2022 14.00,115.05,115.05,421978.9,0,404556.4,0,128463.9
7/1/2022 15.00,115.2,115.2,422094.1,0,404556.4,0,128463.9
7/1/2022 16.00,115.2,115.2,422209.3,0,404556.4,0,128463.9
7/1/2022 17.00,51.6000003,51.6000003,422260.9,0,404556.4,0,128463.9
7/1/2022 18.00,51.6,51.6,422312.5,0,404556.4,0,128463.9
7/1/2022 19.00,2.44996E-07,2.44996E-07,422312.5,0,404556.4,0,128463.9
7/1/2022 20.00,0,0,422312.5,0,404556.4,0,128463.9
7/1/2022 21.00,0,0,422312.5,0,404556.4,0,128463.9
7/1/2022 22.00,0,0,422312.5,0,404556.4,0,128463.9
7/1/2022 23.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 0.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 1.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 2.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 3.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 4.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 5.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 6.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 7.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 8.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 9.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 10.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 11.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 12.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 13.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 14.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 15.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 16.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 17.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 18.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 19.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 20.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 21.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 22.00,0,0,422312.5,0,404556.4,0,128463.9
8/1/2022 23.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 0.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 1.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 2.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 3.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 4.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 5.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 6.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 7.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 8.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 9.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 10.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 11.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 12.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 13.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 14.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 15.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 16.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 17.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 18.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 19.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 20.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 21.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 22.00,0,0,422312.5,0,404556.4,0,128463.9
9/1/2022 23.00,0,0,422312.5,0,404556.4,0,128463.9
10/1/2022 0.00,0,0,422312.5,0,404556.4,0,128463.9
10/1/2022 1.00,0,0,422312.5,0,404556.4,0,128463.9
10/1/2022 2.00,0,0,422312.5,0,404556.4,0,128463.9
10/1/2022 3.00,0,0,422312.5,0,404556.4,0,128463.9
10/1/2022 4.00,0,0,422312.5,0,404556.4,0,128463.9
10/1/2022 5.00,30.325,0,422312.5,30.325,404586.725,0,128463.9
10/1/2022 6.00,30.325,0,422312.5,30.325,404617.05,0,128463.9
10/1/2022 7.00,30.325,0,422312.5,30.325,404647.375,0,128463.9
10/1/2022 8.00,30.325,0,422312.5,30.325,404677.7,0,128463.9
10/1/2022 9.00,115.15,0,422312.5,115.15,404792.85,0,128463.9
