Curve_Robinson Lifestyle Ratchaphruek_20240610174207,,,,
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW),
1/1/2023 0:00,1163.683,1163.683,0,1163.683
1/1/2023 0:30,1124.292,1124.292,0,1124.292
1/1/2023 1:00,1079.298,1079.298,0,1079.298
1/1/2023 1:30,1063.194,1063.194,0,1063.194
1/1/2023 2:00,982.273,982.273,0,982.273
1/1/2023 2:30,636.088,636.088,0,636.088
1/1/2023 3:00,628.231,628.231,0,628.231
1/1/2023 3:30,601.84,601.84,0,601.84
1/1/2023 4:00,559.988,559.988,0,559.988
1/1/2023 4:30,549.369,549.369,0,549.369
1/1/2023 5:00,449.789,449.789,0,449.789
1/1/2023 5:30,432.516,432.516,0,432.516
1/1/2023 6:00,453.339,453.339,0,453.339
1/1/2023 6:30,473.106,473.106,0,473.106
1/1/2023 7:00,460.72,483.635,22.915,460.72
1/1/2023 7:30,349.454,446.478,97.024,349.454
1/1/2023 8:00,442.605,660.464,217.859,442.605
1/1/2023 8:30,427.133,795.447,368.314,427.133
1/1/2023 9:00,354.382,910.873,556.491,354.382
1/1/2023 9:30,1104.526,1843.541,739.015,1104.526
1/1/2023 10:00,2104.892,3012.317,907.425,2104.892
1/1/2023 10:30,2126.955,3148.168,1021.213,2126.955
1/1/2023 11:00,2268.873,3370.49,1101.617,2268.873
1/1/2023 11:30,2202.12,3378.935,1176.815,2202.12
1/1/2023 12:00,2127.33,3315.001,1187.671,2127.33
1/1/2023 12:30,2232.348,3409.909,1177.561,2232.348
1/1/2023 13:00,2252.872,3420.906,1168.034,2252.872
1/1/2023 13:30,2494.106,3541.24,1047.134,2494.106
1/1/2023 14:00,2914.664,3671.89,757.226,2914.664
1/1/2023 14:30,3253.292,3616.788,363.496,3253.292
1/1/2023 15:00,2617.529,3465.969,848.44,2617.529
1/1/2023 15:30,2815.646,3603.806,788.16,2815.646
1/1/2023 16:00,3204.134,3752.139,548.005,3204.134
1/1/2023 16:30,3463.45,3783.63,320.18,3463.45
1/1/2023 17:00,3616.272,3793.917,177.645,3616.272
1/1/2023 17:30,3827.82,3891.141,63.321,3827.82
1/1/2023 18:00,3875.307,3881.819,6.512,3875.307
1/1/2023 18:30,3921.714,3921.714,0,3921.714
1/1/2023 19:00,3911.434,3911.434,0,3911.434
1/1/2023 19:30,3988.161,3988.161,0,3988.161
1/1/2023 20:00,3728.877,3728.877,0,3728.877
1/1/2023 20:30,3651.935,3651.935,0,3651.935
1/1/2023 21:00,3542.042,3542.042,0,3542.042
1/1/2023 21:30,2581.56,2581.56,0,2581.56
1/1/2023 22:00,2204.41,2204.41,0,2204.41
1/1/2023 22:30,1333.416,1333.416,0,1333.416
1/1/2023 23:00,1291.36,1291.36,0,1291.36
1/1/2023 23:30,1200.868,1200.868,0,1200.868
2/1/2023 0:00,1071.412,1071.412,0,1071.412
2/1/2023 0:30,632.905,632.905,0,632.905
2/1/2023 1:00,616.212,616.212,0,616.212
2/1/2023 1:30,599.059,599.059,0,599.059
2/1/2023 2:00,513.821,513.821,0,513.821
2/1/2023 2:30,535.85,535.85,0,535.85
2/1/2023 3:00,500.542,500.542,0,500.542
2/1/2023 3:30,491.198,491.198,0,491.198
2/1/2023 4:00,465.537,465.537,0,465.537
2/1/2023 4:30,443.044,443.044,0,443.044
2/1/2023 5:00,462.353,462.353,0,462.353
2/1/2023 5:30,460.11,460.11,0,460.11
2/1/2023 6:00,489.942,489.942,0,489.942
2/1/2023 6:30,507.096,507.096,0,507.096
