Curve_Robinson Lifestyle Ratchaphruek_20240610174044,,,
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW)
1/5/2023 0:00,911.623,911.623,0
1/5/2023 0:30,746.935,746.935,0
1/5/2023 1:00,713.559,713.559,0
1/5/2023 1:30,702.822,702.822,0
1/5/2023 2:00,662.564,662.564,0
1/5/2023 2:30,660.253,660.253,0
1/5/2023 3:00,652.29,652.29,0
1/5/2023 3:30,642.861,642.861,0
1/5/2023 4:00,583.062,583.062,0
1/5/2023 4:30,502.315,502.315,0
1/5/2023 5:00,559.722,559.722,0
1/5/2023 5:30,540.019,540.019,0
1/5/2023 6:00,478.998,480.348,1.35
1/5/2023 6:30,424.897,471.485,46.588
1/5/2023 7:00,314.055,450.239,136.184
1/5/2023 7:30,223.974,501.528,277.554
1/5/2023 8:00,282.134,709.629,427.495
1/5/2023 8:30,212.223,774.237,562.014
1/5/2023 9:00,157.249,844.837,687.588
1/5/2023 9:30,1184.459,2049.567,865.108
1/5/2023 10:00,2138.935,3185.909,1046.974
1/5/2023 10:30,2466.028,3613.036,1147.008
1/5/2023 11:00,2950.757,4219.046,1268.289
1/5/2023 11:30,2511.199,3812.232,1301.033
1/5/2023 12:00,2421.107,3774.968,1353.861
1/5/2023 12:30,2532.986,3886.371,1353.385
1/5/2023 13:00,2550.215,3891.942,1341.727
1/5/2023 13:30,2617.417,3898.849,1281.432
1/5/2023 14:00,2734.696,3950.377,1215.681
1/5/2023 14:30,2938.209,4003.969,1065.76
1/5/2023 15:00,3120.503,4091.147,970.644
1/5/2023 15:30,3297.13,4093.681,796.551
1/5/2023 16:00,3508.797,4165.372,656.575
1/5/2023 16:30,3682.175,4178.436,496.261
1/5/2023 17:00,3909.512,4240.811,331.299
1/5/2023 17:30,4068.503,4242.335,173.832
1/5/2023 18:00,4287.482,4357.537,70.055
1/5/2023 18:30,4309.422,4319.543,10.121
1/5/2023 19:00,4307.976,4307.976,0
1/5/2023 19:30,3994.076,3994.076,0
1/5/2023 20:00,3941.506,3941.506,0
1/5/2023 20:30,3950.651,3950.651,0
1/5/2023 21:00,3827.661,3827.661,0
1/5/2023 21:30,2900.244,2900.244,0
1/5/2023 22:00,2670.004,2670.004,0
1/5/2023 22:30,1639.56,1639.56,0
1/5/2023 23:00,1301.902,1301.902,0
1/5/2023 23:30,826.731,826.731,0
2/5/2023 0:00,767.411,767.411,0
2/5/2023 0:30,600.169,600.169,0
2/5/2023 1:00,565.676,565.676,0
2/5/2023 1:30,558.856,558.856,0
2/5/2023 2:00,514.703,514.703,0
2/5/2023 2:30,513.099,513.099,0
2/5/2023 3:00,505.787,505.787,0
2/5/2023 3:30,499.139,499.139,0
2/5/2023 4:00,450.384,450.384,0
2/5/2023 4:30,467.634,467.634,0
2/5/2023 5:00,460.898,460.898,0
2/5/2023 5:30,446.094,446.094,0
2/5/2023 6:00,421.357,423.669,2.312
2/5/2023 6:30,369.614,422.117,52.503
2/5/2023 7:00,308.632,439.31,130.678
2/5/2023 7:30,192.139,460.71,268.571
2/5/2023 8:00,152.074,574.761,422.687
2/5/2023 8:30,-54.856,569.685,624.541
2/5/2023 9:00,-16.441,743.125,759.566
2/5/2023 9:30,-89.742,867.305,957.047
2/5/2023 10:00,9.63,959.012,949.382
2/5/2023 10:30,633.527,1831.256,1197.729
2/5/2023 11:00,2944.765,4206.696,1261.931
2/5/2023 11:30,2939.099,4261.699,1322.6
2/5/2023 12:00,2780.089,4158.643,1378.554
