Curve_Robinson Lifestyle Ratchaphruek_20240610174304
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW)
2023-11-01 00:00:00,1391.078,1391.078,0
2023-11-01 00:30:00,841.765,841.765,0
2023-11-01 01:00:00,780.299,780.299,0
2023-11-01 01:30:00,794.064,794.064,0
2023-11-01 02:00:00,723.894,723.894,0
2023-11-01 02:30:00,731.053,731.053,0
2023-11-01 03:00:00,699.584,699.584,0
2023-11-01 03:30:00,711.06,711.06,0
2023-11-01 04:00:00,591.416,591.416,0
2023-11-01 04:30:00,586.373,586.373,0
2023-11-01 05:00:00,591.026,591.026,0
2023-11-01 05:30:00,580.404,580.404,0
2023-11-01 06:00:00,598.909,598.909,0
2023-11-01 06:30:00,498.293,523.357,25.064
2023-11-01 07:00:00,367.934,478.475,110.541
2023-11-01 07:30:00,230.921,463.887,232.966
2023-11-01 08:00:00,103.543,564.208,460.665
2023-11-01 08:30:00,-118.762,612.793,731.555
2023-11-01 09:00:00,-257.116,689.891,947.007
2023-11-01 09:30:00,-126.298,839.91,966.208
2023-11-01 10:00:00,-386.786,853.87,1240.656
2023-11-01 10:30:00,228.119,1273.179,1045.06
2023-11-01 11:00:00,1927.463,3353.101,1425.638
2023-11-01 11:30:00,2136.849,3470.499,1333.65
2023-11-01 12:00:00,2312.572,3461.817,1149.245
2023-11-01 12:30:00,3288.438,4224.359,935.921
2023-11-01 13:00:00,3145.235,3976.74,831.505
2023-11-01 13:30:00,3015.181,3824.332,809.151
2023-11-01 14:00:00,2814.35,3886.198,1071.848
2023-11-01 14:30:00,2437.731,3672.019,1234.288
2023-11-01 15:00:00,2609.591,3695.202,1085.611
2023-11-01 15:30:00,3361.904,3791.927,430.023
2023-11-01 16:00:00,3729.148,3896.416,167.268
2023-11-01 16:30:00,3424.902,3797.589,372.687
2023-11-01 17:00:00,3641.141,3813.85,172.709
2023-11-01 17:30:00,3912.184,3954.668,42.484
2023-11-01 18:00:00,4138.183,4138.202,0.019
2023-11-01 18:30:00,3800.889,3800.889,0
2023-11-01 19:00:00,3894.641,3894.641,0
2023-11-01 19:30:00,3905.297,3905.297,0
2023-11-01 20:00:00,3905.19,3905.19,0
2023-11-01 20:30:00,3621.545,3621.545,0
2023-11-01 21:00:00,3609.568,3609.568,0
2023-11-01 21:30:00,3314.007,3314.007,0
2023-11-01 22:00:00,2803.356,2803.356,0
2023-11-01 22:30:00,1364.437,1364.437,0
2023-11-01 23:00:00,1304.787,1304.787,0
2023-11-01 23:30:00,1220.008,1220.008,0
2023-11-02 00:00:00,1254.155,1254.155,0
2023-11-02 00:30:00,680.283,680.283,0
2023-11-02 01:00:00,652.522,652.522,0
2023-11-02 01:30:00,636.315,636.315,0
2023-11-02 02:00:00,624.942,624.942,0
