Date,Load
01/01/2023 00.00,19019.84
01/01/2023 00.15,25360.96
01/01/2023 00.30,25714.48
01/01/2023 00.45,24392.4
01/01/2023 01.00,25080.56
01/01/2023 01.15,24863.8
01/01/2023 01.30,25696.44
01/01/2023 01.45,26750.96
01/01/2023 02.00,26178.12
01/01/2023 02.15,26618.52
01/01/2023 02.30,24548.12
01/01/2023 02.45,27376.32
01/01/2023 03.00,27343.64
01/01/2023 03.15,27259.32
01/01/2023 03.30,24434.56
01/01/2023 03.45,24507.68
01/01/2023 04.00,20475.24
01/01/2023 04.15,22463.08
01/01/2023 04.30,25101.2
01/01/2023 04.45,25112.36
01/01/2023 05.00,24756.28
01/01/2023 05.15,25397.08
01/01/2023 05.30,26760.44
01/01/2023 05.45,26898.08
01/01/2023 06.00,25546.76
01/01/2023 06.15,25084.84
01/01/2023 06.30,25400.52
01/01/2023 06.45,24512.84
01/01/2023 07.00,17362.32
01/01/2023 07.15,26076.6
01/01/2023 07.30,26415.52
01/01/2023 07.45,24598.84
01/01/2023 08.00,19171.24
01/01/2023 08.15,25281.84
01/01/2023 08.30,24922.28
01/01/2023 08.45,26787.12
01/01/2023 09.00,27023.64
01/01/2023 09.15,26671.84
01/01/2023 09.30,26341.56
01/01/2023 09.45,26391.44
01/01/2023 10.00,26310.56
01/01/2023 10.15,24547.24
01/01/2023 10.30,25208.72
01/01/2023 10.45,26359.6
01/01/2023 11.00,26657.24
01/01/2023 11.15,25449.56
01/01/2023 11.30,25889.08
01/01/2023 11.45,25693.84
01/01/2023 12.00,25105.48
01/01/2023 12.15,25898.56
01/01/2023 12.30,25669.76
01/01/2023 12.45,24282.32
01/01/2023 13.00,25203.56
01/01/2023 13.15,24594.56
01/01/2023 13.30,24641
01/01/2023 13.45,25170.88
01/01/2023 14.00,24337.36
01/01/2023 14.15,24813.04
01/01/2023 14.30,25313.64
01/01/2023 14.45,24106
01/01/2023 15.00,18906.32
01/01/2023 15.15,24711.52
01/01/2023 15.30,26082.64
01/01/2023 15.45,22869.92
01/01/2023 16.00,17738.24
01/01/2023 16.15,24154.16
01/01/2023 16.30,24573.04
01/01/2023 16.45,25248.28
01/01/2023 17.00,26001.76
01/01/2023 17.15,27095.92
01/01/2023 17.30,26669.28
01/01/2023 17.45,26104.12
01/01/2023 18.00,26280.48
01/01/2023 18.15,25807.4
01/01/2023 18.30,24645.32
01/01/2023 18.45,27126
01/01/2023 19.00,23045.4
01/01/2023 19.15,25190.64
01/01/2023 19.30,24164.48
01/01/2023 19.45,25634.48
01/01/2023 20.00,21391.32
01/01/2023 20.15,24833.68
01/01/2023 20.30,25261.2
01/01/2023 20.45,25252.56
01/01/2023 21.00,25211.28
01/01/2023 21.15,26294.24
01/01/2023 21.30,25367.84
01/01/2023 21.45,26695.92
01/01/2023 22.00,26468.84
01/01/2023 22.15,26343.28
01/01/2023 22.30,26501.52
01/01/2023 22.45,25602.68
01/01/2023 23.00,18207
01/01/2023 23.15,26778.52
01/01/2023 23.30,27025.36
01/01/2023 23.45,23329.28
02/01/2023 00.00,20071.84
02/01/2023 00.15,26221.12
02/01/2023 00.30,25355.8
02/01/2023 00.45,25330
02/01/2023 01.00,25727.4
02/01/2023 01.15,25207
02/01/2023 01.30,25395.36
02/01/2023 01.45,26690.76
02/01/2023 02.00,26261.56
02/01/2023 02.15,25570.84
02/01/2023 02.30,24917.96
02/01/2023 02.45,25950.16
02/01/2023 03.00,23664.72
02/01/2023 03.15,26959.12
02/01/2023 03.30,25623.32
02/01/2023 03.45,24739.92
02/01/2023 04.00,18520.12
02/01/2023 04.15,23946.84
02/01/2023 04.30,24788.08
02/01/2023 04.45,25112.36
02/01/2023 05.00,24780.36
02/01/2023 05.15,24956.68
02/01/2023 05.30,25958.76
02/01/2023 05.45,26770.76
02/01/2023 06.00,26697.64
02/01/2023 06.15,27659.32
02/01/2023 06.30,26209.92
02/01/2023 06.45,24724.44
02/01/2023 07.00,18256.04
02/01/2023 07.15,27250.72
02/01/2023 07.30,27487.28
02/01/2023 07.45,26000.04
02/01/2023 08.00,18563.96
02/01/2023 08.15,25481.4
02/01/2023 08.30,25263.76
02/01/2023 08.45,25338.6
02/01/2023 09.00,25032.36
02/01/2023 09.15,25565.68
02/01/2023 09.30,25606.96
02/01/2023 09.45,26700.24
02/01/2023 10.00,26683.88
02/01/2023 10.15,21972.8
02/01/2023 10.30,25909.76
02/01/2023 10.45,26026.72
02/01/2023 11.00,25103.76
02/01/2023 11.15,26301.96
02/01/2023 11.30,24339.08
02/01/2023 11.45,26358.76
02/01/2023 12.00,26505.84
02/01/2023 12.15,25378.16
02/01/2023 12.30,25946.72
02/01/2023 12.45,25461.6
02/01/2023 13.00,25246.56
02/01/2023 13.15,24690.88
02/01/2023 13.30,24851.76
02/01/2023 13.45,24163.6
02/01/2023 14.00,24339.08
02/01/2023 14.15,23745.56
02/01/2023 14.30,23162.4
02/01/2023 14.45,19608.2
02/01/2023 15.00,5545.44
02/01/2023 15.15,11889.12
02/01/2023 15.30,13394.4
02/01/2023 15.45,14099.76
02/01/2023 16.00,13363.44
02/01/2023 16.15,14348.32
02/01/2023 16.30,19078.36
02/01/2023 16.45,20378.04
02/01/2023 17.00,22584.36
02/01/2023 17.15,23337.88
02/01/2023 17.30,22914.68
02/01/2023 17.45,25090
02/01/2023 18.00,25549.32
02/01/2023 18.15,26932.48
02/01/2023 18.30,23735.24
02/01/2023 18.45,25478.8
02/01/2023 19.00,25397.96
02/01/2023 19.15,26826.68
02/01/2023 19.30,20712.64
02/01/2023 19.45,24384.68
02/01/2023 20.00,24408.76
02/01/2023 20.15,25300.76
02/01/2023 20.30,25013.44
02/01/2023 20.45,24407.92
02/01/2023 21.00,25425.48
02/01/2023 21.15,25051.32
02/01/2023 21.30,23762.8
02/01/2023 21.45,25279.24
02/01/2023 22.00,25658.56
02/01/2023 22.15,26086.92
02/01/2023 22.30,25408.28
02/01/2023 22.45,24180.8
02/01/2023 23.00,17026.88
02/01/2023 23.15,23958.88
02/01/2023 23.30,26041.36
02/01/2023 23.45,22841.56
03/01/2023 00.00,19172.96
03/01/2023 00.15,25185.48
03/01/2023 00.30,25956.2
03/01/2023 00.45,25606.96
03/01/2023 01.00,26142.84
03/01/2023 01.15,25422.88
03/01/2023 01.30,22241.16
03/01/2023 01.45,27110.52
03/01/2023 02.00,28290.68
03/01/2023 02.15,26909.24
03/01/2023 02.30,25720.52
03/01/2023 02.45,27427.08
03/01/2023 03.00,27685.12
03/01/2023 03.15,27184.48
03/01/2023 03.30,25836.64
03/01/2023 03.45,27271.36
03/01/2023 04.00,24651.32
03/01/2023 04.15,25535.56
03/01/2023 04.30,24484.44
03/01/2023 04.45,24050.92
03/01/2023 05.00,24242.76
03/01/2023 05.15,22959.4
03/01/2023 05.30,25569.96
03/01/2023 05.45,24657.36
03/01/2023 06.00,25325.68
03/01/2023 06.15,26123.08
03/01/2023 06.30,24969.6
03/01/2023 06.45,23950.28
03/01/2023 07.00,16770.56
03/01/2023 07.15,25277.52
03/01/2023 07.30,27502.76
03/01/2023 07.45,24941.2
03/01/2023 08.00,20440
03/01/2023 08.15,25230.2
03/01/2023 08.30,25697.28
03/01/2023 08.45,25791.88
03/01/2023 09.00,24755.4
03/01/2023 09.15,25649.96
03/01/2023 09.30,25588.92
03/01/2023 09.45,26664.12
03/01/2023 10.00,26247.8
