Date,Load
01/01/2023 00.00,24953.151010701546
01/01/2023 00.15,24953.151010701546
01/01/2023 00.30,24953.151010701546
01/01/2023 00.45,24953.151010701546
01/01/2023 01.00,24953.151010701546
01/01/2023 01.15,24953.151010701546
01/01/2023 01.30,24953.151010701546
01/01/2023 01.45,24953.151010701546
01/01/2023 02.00,24953.151010701546
01/01/2023 02.15,24953.151010701546
01/01/2023 02.30,24953.151010701546
01/01/2023 02.45,24953.151010701546
01/01/2023 03.00,24953.151010701546
01/01/2023 03.15,24953.151010701546
01/01/2023 03.30,24953.151010701546
01/01/2023 03.45,24953.151010701546
01/01/2023 04.00,24953.151010701546
01/01/2023 04.15,24953.151010701546
01/01/2023 04.30,24953.151010701546
01/01/2023 04.45,24953.151010701546
01/01/2023 05.00,24953.151010701546
01/01/2023 05.15,24953.151010701546
01/01/2023 05.30,24953.151010701546
01/01/2023 05.45,24953.151010701546
01/01/2023 06.00,24953.151010701546
01/01/2023 06.15,24953.151010701546
01/01/2023 06.30,24953.151010701546
01/01/2023 06.45,24953.151010701546
01/01/2023 07.00,24953.151010701546
01/01/2023 07.15,24953.151010701546
01/01/2023 07.30,24953.151010701546
01/01/2023 07.45,24953.151010701546
01/01/2023 08.00,24953.151010701546
01/01/2023 08.15,24953.151010701546
01/01/2023 08.30,24953.151010701546
01/01/2023 08.45,24953.151010701546
01/01/2023 09.00,24953.151010701546
01/01/2023 09.15,24953.151010701546
01/01/2023 09.30,24953.151010701546
01/01/2023 09.45,24953.151010701546
01/01/2023 10.00,24953.151010701546
01/01/2023 10.15,24953.151010701546
01/01/2023 10.30,24953.151010701546
01/01/2023 10.45,24953.151010701546
01/01/2023 11.00,24953.151010701546
01/01/2023 11.15,24953.151010701546
01/01/2023 11.30,24953.151010701546
01/01/2023 11.45,24953.151010701546
01/01/2023 12.00,24953.151010701546
01/01/2023 12.15,24953.151010701546
01/01/2023 12.30,24953.151010701546
01/01/2023 12.45,24953.151010701546
01/01/2023 13.00,24953.151010701546
01/01/2023 13.15,24953.151010701546
01/01/2023 13.30,24953.151010701546
01/01/2023 13.45,24953.151010701546
01/01/2023 14.00,24953.151010701546
01/01/2023 14.15,24953.151010701546
01/01/2023 14.30,24953.151010701546
01/01/2023 14.45,24953.151010701546
01/01/2023 15.00,24953.151010701546
01/01/2023 15.15,24953.151010701546
01/01/2023 15.30,24953.151010701546
01/01/2023 15.45,24953.151010701546
01/01/2023 16.00,24953.151010701546
01/01/2023 16.15,24953.151010701546
01/01/2023 16.30,24953.151010701546
01/01/2023 16.45,24953.151010701546
01/01/2023 17.00,24953.151010701546
01/01/2023 17.15,24953.151010701546
01/01/2023 17.30,24953.151010701546
01/01/2023 17.45,24953.151010701546
01/01/2023 18.00,24953.151010701546
01/01/2023 18.15,24953.151010701546
01/01/2023 18.30,24953.151010701546
01/01/2023 18.45,24953.151010701546
01/01/2023 19.00,24953.151010701546
01/01/2023 19.15,24953.151010701546
01/01/2023 19.30,24953.151010701546
01/01/2023 19.45,24953.151010701546
01/01/2023 20.00,24953.151010701546
01/01/2023 20.15,24953.151010701546
01/01/2023 20.30,24953.151010701546
01/01/2023 20.45,24953.151010701546
01/01/2023 21.00,24953.151010701546
01/01/2023 21.15,24953.151010701546
01/01/2023 21.30,24953.151010701546
01/01/2023 21.45,24953.151010701546
01/01/2023 22.00,24953.151010701546
01/01/2023 22.15,24953.151010701546
01/01/2023 22.30,24953.151010701546
01/01/2023 22.45,24953.151010701546
01/01/2023 23.00,24953.151010701546
01/01/2023 23.15,24953.151010701546
01/01/2023 23.30,24953.151010701546
01/01/2023 23.45,24953.151010701546
02/01/2023 00.00,19287.36436821841
02/01/2023 00.15,19287.36436821841
02/01/2023 00.30,19287.36436821841
02/01/2023 00.45,19287.36436821841
02/01/2023 01.00,19287.36436821841
02/01/2023 01.15,19287.36436821841
02/01/2023 01.30,19287.36436821841
02/01/2023 01.45,19287.36436821841
02/01/2023 02.00,19287.36436821841
02/01/2023 02.15,19287.36436821841
02/01/2023 02.30,19287.36436821841
02/01/2023 02.45,19287.36436821841
02/01/2023 03.00,19287.36436821841
02/01/2023 03.15,19287.36436821841
02/01/2023 03.30,19287.36436821841
02/01/2023 03.45,19287.36436821841
02/01/2023 04.00,19287.36436821841
02/01/2023 04.15,19287.36436821841
02/01/2023 04.30,19287.36436821841
02/01/2023 04.45,19287.36436821841
02/01/2023 05.00,19287.36436821841
02/01/2023 05.15,19287.36436821841
02/01/2023 05.30,19287.36436821841
02/01/2023 05.45,19287.36436821841
02/01/2023 06.00,19287.36436821841
02/01/2023 06.15,19287.36436821841
02/01/2023 06.30,19287.36436821841
02/01/2023 06.45,19287.36436821841
02/01/2023 07.00,19287.36436821841
02/01/2023 07.15,19287.36436821841
02/01/2023 07.30,19287.36436821841
02/01/2023 07.45,19287.36436821841
02/01/2023 08.00,19287.36436821841
02/01/2023 08.15,19287.36436821841
02/01/2023 08.30,19287.36436821841
02/01/2023 08.45,19287.36436821841
02/01/2023 09.00,18416.09467455621
02/01/2023 09.15,18416.09467455621
02/01/2023 09.30,18416.09467455621
02/01/2023 09.45,18416.09467455621
02/01/2023 10.00,18416.09467455621
02/01/2023 10.15,18416.09467455621
02/01/2023 10.30,18416.09467455621
02/01/2023 10.45,18416.09467455621
02/01/2023 11.00,18416.09467455621
02/01/2023 11.15,18416.09467455621
02/01/2023 11.30,18416.09467455621
02/01/2023 11.45,18416.09467455621
02/01/2023 12.00,18416.09467455621
02/01/2023 12.15,18416.09467455621
02/01/2023 12.30,18416.09467455621
02/01/2023 12.45,18416.09467455621
02/01/2023 13.00,18416.09467455621
02/01/2023 13.15,18416.09467455621
02/01/2023 13.30,18416.09467455621
02/01/2023 13.45,18416.09467455621
02/01/2023 14.00,18416.09467455621
02/01/2023 14.15,18416.09467455621
02/01/2023 14.30,18416.09467455621
02/01/2023 14.45,18416.09467455621
02/01/2023 15.00,18416.09467455621
02/01/2023 15.15,18416.09467455621
02/01/2023 15.30,18416.09467455621
02/01/2023 15.45,18416.09467455621
02/01/2023 16.00,18416.09467455621
02/01/2023 16.15,18416.09467455621
02/01/2023 16.30,18416.09467455621
02/01/2023 16.45,18416.09467455621
02/01/2023 17.00,18416.09467455621
02/01/2023 17.15,18416.09467455621
02/01/2023 17.30,18416.09467455621
02/01/2023 17.45,18416.09467455621
02/01/2023 18.00,18416.09467455621
02/01/2023 18.15,18416.09467455621
02/01/2023 18.30,18416.09467455621
02/01/2023 18.45,18416.09467455621
02/01/2023 19.00,18416.09467455621
02/01/2023 19.15,18416.09467455621
02/01/2023 19.30,18416.09467455621
02/01/2023 19.45,18416.09467455621
02/01/2023 20.00,18416.09467455621
02/01/2023 20.15,18416.09467455621
02/01/2023 20.30,18416.09467455621
02/01/2023 20.45,18416.09467455621
02/01/2023 21.00,18416.09467455621
02/01/2023 21.15,18416.09467455621
02/01/2023 21.30,18416.09467455621
02/01/2023 21.45,18416.09467455621
02/01/2023 22.00,19287.36436821841
02/01/2023 22.15,19287.36436821841
02/01/2023 22.30,19287.36436821841
02/01/2023 22.45,19287.36436821841
02/01/2023 23.00,19287.36436821841
02/01/2023 23.15,19287.36436821841
02/01/2023 23.30,19287.36436821841
02/01/2023 23.45,19287.36436821841
03/01/2023 00.00,19287.36436821841
03/01/2023 00.15,19287.36436821841
03/01/2023 00.30,19287.36436821841
03/01/2023 00.45,19287.36436821841
03/01/2023 01.00,19287.36436821841
03/01/2023 01.15,19287.36436821841
03/01/2023 01.30,19287.36436821841
03/01/2023 01.45,19287.36436821841
03/01/2023 02.00,19287.36436821841
03/01/2023 02.15,19287.36436821841
03/01/2023 02.30,19287.36436821841
03/01/2023 02.45,19287.36436821841
03/01/2023 03.00,19287.36436821841
03/01/2023 03.15,19287.36436821841
03/01/2023 03.30,19287.36436821841
03/01/2023 03.45,19287.36436821841
03/01/2023 04.00,19287.36436821841
03/01/2023 04.15,19287.36436821841
03/01/2023 04.30,19287.36436821841
03/01/2023 04.45,19287.36436821841
03/01/2023 05.00,19287.36436821841
03/01/2023 05.15,19287.36436821841
03/01/2023 05.30,19287.36436821841
03/01/2023 05.45,19287.36436821841
03/01/2023 06.00,19287.36436821841
03/01/2023 06.15,19287.36436821841
