Date,Load
1/1/2024 0.00,15.916
1/1/2024 1.00,15.606
1/1/2024 2.00,15.98
1/1/2024 3.00,15.59
1/1/2024 4.00,16.02
1/1/2024 5.00,15.632
1/1/2024 6.00,16.013
1/1/2024 7.00,14.474
1/1/2024 8.00,13.712
1/1/2024 9.00,13.317
1/1/2024 10.00,13.394
1/1/2024 11.00,12.946
1/1/2024 12.00,12.555
1/1/2024 13.00,12.771
1/1/2024 14.00,12.578
1/1/2024 15.00,12.578
1/1/2024 16.00,13.553
1/1/2024 17.00,15.055
1/1/2024 18.00,15.294
1/1/2024 19.00,15.098
1/1/2024 20.00,15.432
1/1/2024 21.00,15.715
1/1/2024 22.00,15.925
1/1/2024 23.00,15.872
2/1/2024 0.00,15.922
2/1/2024 1.00,15.711
2/1/2024 2.00,15.915
2/1/2024 3.00,15.704
2/1/2024 4.00,15.963
2/1/2024 5.00,15.753
2/1/2024 6.00,16.496
2/1/2024 7.00,36.047
2/1/2024 8.00,44.6
2/1/2024 9.00,44.594
2/1/2024 10.00,45.451
2/1/2024 11.00,45.609
2/1/2024 12.00,45.383
2/1/2024 13.00,44.495
2/1/2024 14.00,44.493
2/1/2024 15.00,44.043
2/1/2024 16.00,44.742
2/1/2024 17.00,36.91
2/1/2024 18.00,36.911
2/1/2024 19.00,36.952
2/1/2024 20.00,36.934
2/1/2024 21.00,14.119
2/1/2024 22.00,14.089
2/1/2024 23.00,14.249
3/1/2024 0.00,14.086
3/1/2024 1.00,14.085
3/1/2024 2.00,14.368
3/1/2024 3.00,15.435
3/1/2024 4.00,15.354
3/1/2024 5.00,15.532
3/1/2024 6.00,16.424
3/1/2024 7.00,35.984
3/1/2024 8.00,44.573
3/1/2024 9.00,44.573
3/1/2024 10.00,45.435
3/1/2024 11.00,45.602
3/1/2024 12.00,45.486
3/1/2024 13.00,44.652
3/1/2024 14.00,44.639
3/1/2024 15.00,44.153
3/1/2024 16.00,44.406
3/1/2024 17.00,37.014
3/1/2024 18.00,37.054
3/1/2024 19.00,37.055
3/1/2024 20.00,37.056
3/1/2024 21.00,14.061
3/1/2024 22.00,14.069
3/1/2024 23.00,15.113
4/1/2024 0.00,15.178
4/1/2024 1.00,15.381
4/1/2024 2.00,15.433
4/1/2024 3.00,15.884
4/1/2024 4.00,15.656
4/1/2024 5.00,16.061
4/1/2024 6.00,16.464
4/1/2024 7.00,36.011
4/1/2024 8.00,44.58
4/1/2024 9.00,44.575
4/1/2024 10.00,45.373
4/1/2024 11.00,45.547
4/1/2024 12.00,45.475
4/1/2024 13.00,44.666
4/1/2024 14.00,44.673
4/1/2024 15.00,44.187
4/1/2024 16.00,44.362
4/1/2024 17.00,37.016
4/1/2024 18.00,37.053
4/1/2024 19.00,37.1
4/1/2024 20.00,37.099
4/1/2024 21.00,14.097
4/1/2024 22.00,14.07
4/1/2024 23.00,14.831
5/1/2024 0.00,15.187
5/1/2024 1.00,15.644
5/1/2024 2.00,15.457
5/1/2024 3.00,15.944
5/1/2024 4.00,15.7
5/1/2024 5.00,15.97
5/1/2024 6.00,16.496
5/1/2024 7.00,36.036
5/1/2024 8.00,44.592
