Latitude (decimal degrees): 13.812
Longitude (decimal degrees): 100.506
Elevation (m): 9.0
month,year
1,2005
2,2008
3,2012
4,2009
5,2013
6,2009
7,2012
8,2007
9,2005
10,2014
11,2016
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050101:0000,24.06,66.06,10.0,0.0,10.0,281.03,2.52,64.0,101512.0
20050101:0100,23.98,61.56,176.0,447.28,74.0,273.92,2.66,54.0,101631.0
20050101:0200,23.9,57.06,411.0,713.68,102.0,266.81,2.8,45.0,101671.0
20050101:0300,23.83,52.56,618.0,843.82,110.0,259.7,2.95,39.0,101751.0
20050101:0400,23.75,48.06,772.0,916.14,109.0,252.59,3.09,35.0,101691.0
20050101:0500,23.67,43.56,855.0,939.62,113.0,245.48,3.24,35.0,101602.0
20050101:0600,23.59,39.06,854.0,910.12,130.0,238.38,3.38,39.0,101472.0
20050101:0700,23.51,34.56,793.0,916.64,114.0,231.27,3.52,49.0,101342.0
20050101:0800,27.56,40.2,648.0,839.22,120.0,365.4,2.76,52.0,101232.0
20050101:0900,27.54,40.4,451.0,728.12,110.0,365.2,2.62,51.0,101222.0
20050101:1000,27.07,41.45,220.0,497.73,86.0,362.8,2.41,48.0,101202.0
20050101:1100,25.74,46.75,12.0,44.04,10.0,358.4,1.86,49.0,101262.0
20050101:1200,24.29,51.8,0.0,-0.0,0.0,351.8,1.93,56.0,101302.0
20050101:1300,23.06,55.75,0.0,-0.0,0.0,347.8,2.21,57.0,101412.0
20050101:1400,21.96,57.95,0.0,-0.0,0.0,344.4,2.28,55.0,101482.0
20050101:1500,21.09,58.6,0.0,-0.0,0.0,340.4,2.34,52.0,101522.0
20050101:1600,20.27,59.4,0.0,-0.0,0.0,335.6,2.28,48.0,101532.0
20050101:1700,19.48,60.55,0.0,-0.0,0.0,330.8,2.14,43.0,101482.0
20050101:1800,18.76,62.1,0.0,-0.0,0.0,327.2,2.0,39.0,101482.0
20050101:1900,18.32,64.7,0.0,-0.0,0.0,328.2,2.0,23.0,101432.0
20050101:2000,17.76,64.95,0.0,-0.0,0.0,325.6,2.07,18.0,101392.0
20050101:2100,17.29,64.55,0.0,-0.0,0.0,322.8,2.07,20.0,101392.0
20050101:2200,16.84,64.65,0.0,-0.0,0.0,320.4,2.0,30.0,101442.0
20050101:2300,16.38,65.65,0.0,-0.0,0.0,318.0,1.86,42.0,101482.0
20050102:0000,15.94,67.35,0.0,-0.0,0.0,315.8,1.72,47.0,101512.0
20050102:0100,18.1,59.75,174.0,440.63,74.0,316.65,1.31,49.0,101612.0
20050102:0200,20.66,48.75,404.0,680.21,110.0,321.8,1.59,55.0,101671.0
20050102:0300,22.87,43.55,617.0,844.28,109.0,328.8,1.52,52.0,101661.0
20050102:0400,24.85,39.55,762.0,873.13,130.0,335.8,1.38,48.0,101612.0
20050102:0500,26.48,36.15,847.0,907.25,130.0,342.8,1.52,46.0,101512.0
20050102:0600,27.63,33.9,837.0,846.12,163.0,347.4,1.72,48.0,101382.0
20050102:0700,28.03,35.5,766.0,807.03,167.0,352.2,2.0,31.0,101212.0
20050102:0800,28.44,34.55,630.0,752.81,155.0,353.2,2.28,36.0,101102.0
20050102:0900,28.37,34.3,449.0,703.71,118.0,352.6,2.41,41.0,101032.0
20050102:1000,27.76,36.25,216.0,453.25,93.0,350.6,2.21,50.0,101022.0
20050102:1100,26.08,43.15,17.0,84.12,13.0,346.4,2.07,72.0,101042.0
20050102:1200,24.31,49.2,0.0,-0.0,0.0,339.8,2.14,89.0,101092.0
20050102:1300,23.04,53.45,0.0,-0.0,0.0,336.0,2.14,98.0,101162.0
20050102:1400,21.99,56.55,0.0,-0.0,0.0,333.2,2.14,100.0,101242.0
20050102:1500,21.03,59.25,0.0,-0.0,0.0,330.4,2.14,97.0,101262.0
20050102:1600,20.1,62.15,0.0,-0.0,0.0,328.0,2.07,93.0,101292.0
20050102:1700,19.24,65.05,0.0,-0.0,0.0,326.4,1.93,89.0,101272.0
20050102:1800,18.39,68.3,0.0,-0.0,0.0,322.8,1.86,84.0,101242.0
20050102:1900,17.61,75.15,0.0,-0.0,0.0,322.2,1.38,55.0,101192.0
20050102:2000,16.9,78.35,0.0,-0.0,0.0,319.4,1.38,35.0,101152.0
20050102:2100,16.16,81.8,0.0,-0.0,0.0,317.2,1.59,21.0,101112.0
20050102:2200,15.63,84.3,0.0,-0.0,0.0,315.0,1.66,12.0,101132.0
20050102:2300,15.18,86.4,0.0,-0.0,0.0,313.2,1.72,7.0,101152.0
20050103:0000,14.84,87.75,0.0,-0.0,0.0,310.8,1.72,3.0,101192.0
20050103:0100,17.88,73.2,119.0,106.23,95.0,312.05,1.17,2.0,101282.0
20050103:0200,21.71,56.65,395.0,630.3,123.0,319.0,1.17,0.0,101342.0
20050103:0300,24.72,45.85,602.0,774.8,136.0,329.4,1.03,8.0,101372.0
20050103:0400,26.77,38.55,754.0,842.49,144.0,339.8,1.03,22.0,101312.0
20050103:0500,28.04,35.1,830.0,843.24,163.0,346.6,1.03,16.0,101252.0
20050103:0600,28.97,32.85,839.0,846.16,164.0,351.2,0.97,20.0,101122.0
20050103:0700,29.44,33.85,767.0,808.03,166.0,359.2,0.83,3.0,101012.0
20050103:0800,29.75,32.8,632.0,753.75,155.0,360.0,0.97,14.0,100922.0
20050103:0900,29.71,32.4,430.0,594.77,149.0,359.8,1.1,25.0,100912.0
20050103:1000,29.13,35.05,169.0,179.12,120.0,357.2,1.17,43.0,100912.0
20050103:1100,27.62,41.4,6.0,0.0,6.0,353.0,1.72,71.0,100962.0
20050103:1200,25.51,47.7,0.0,-0.0,0.0,346.0,2.07,82.0,101012.0
20050103:1300,24.0,52.1,0.0,-0.0,0.0,342.2,2.0,88.0,101112.0
20050103:1400,22.99,54.9,0.0,-0.0,0.0,339.8,1.79,96.0,101172.0
20050103:1500,21.8,59.45,0.0,-0.0,0.0,338.0,1.59,101.0,101192.0
20050103:1600,20.77,64.35,0.0,-0.0,0.0,336.0,1.38,103.0,101202.0
20050103:1700,20.39,66.0,0.0,-0.0,0.0,335.8,1.17,103.0,101172.0
20050103:1800,20.02,68.15,0.0,-0.0,0.0,331.8,1.1,102.0,101192.0
20050103:1900,20.51,68.25,0.0,-0.0,0.0,331.0,0.55,351.0,101172.0
20050103:2000,18.68,77.5,0.0,-0.0,0.0,329.2,1.1,339.0,101142.0
20050103:2100,17.71,82.6,0.0,-0.0,0.0,327.0,1.31,344.0,101162.0
20050103:2200,17.52,83.2,0.0,-0.0,0.0,325.8,1.17,360.0,101192.0
20050103:2300,17.25,84.0,0.0,-0.0,0.0,324.8,1.1,24.0,101282.0
20050104:0000,16.48,87.4,0.0,-0.0,0.0,324.2,1.31,37.0,101322.0
20050104:0100,19.3,75.9,148.0,257.84,90.0,327.05,0.83,36.0,101442.0
20050104:0200,23.42,56.05,375.0,531.41,146.0,335.0,0.97,34.0,101472.0
20050104:0300,26.26,45.7,576.0,666.92,175.0,346.2,1.03,37.0,101492.0
20050104:0400,28.24,39.4,693.0,629.54,237.0,356.4,1.24,47.0,101432.0
20050104:0500,29.5,35.6,790.0,708.54,229.0,364.0,1.45,47.0,101332.0
20050104:0600,30.28,33.5,808.0,740.98,216.0,368.2,1.59,41.0,101222.0
20050104:0700,30.74,34.4,727.0,665.42,231.0,374.4,1.59,43.0,101092.0
20050104:0800,30.9,33.7,606.0,645.91,196.0,375.2,1.59,50.0,101012.0
20050104:0900,30.77,33.45,442.0,644.78,136.0,374.4,1.66,55.0,101022.0
20050104:1000,30.09,36.45,222.0,467.77,93.0,372.4,1.45,61.0,101002.0
20050104:1100,28.64,42.35,17.0,57.82,14.0,367.4,1.52,77.0,101052.0
20050104:1200,26.92,47.15,0.0,-0.0,0.0,361.0,1.59,77.0,101092.0
20050104:1300,25.48,51.5,0.0,-0.0,0.0,356.8,1.38,73.0,101142.0
20050104:1400,24.03,57.75,0.0,-0.0,0.0,353.0,1.1,77.0,101192.0
20050104:1500,23.02,60.7,0.0,-0.0,0.0,352.0,1.24,75.0,101202.0
20050104:1600,21.67,66.55,0.0,-0.0,0.0,351.4,1.66,68.0,101212.0
20050104:1700,20.9,70.5,0.0,-0.0,0.0,350.6,1.86,62.0,101212.0
20050104:1800,20.25,73.6,0.0,-0.0,0.0,349.0,1.86,61.0,101212.0
20050104:1900,19.71,76.55,0.0,-0.0,0.0,346.6,1.66,39.0,101172.0
20050104:2000,19.16,78.9,0.0,-0.0,0.0,344.2,1.66,44.0,101152.0
20050104:2100,18.66,81.0,0.0,-0.0,0.0,341.8,1.66,50.0,101152.0
20050104:2200,18.27,82.4,0.0,-0.0,0.0,339.8,1.79,59.0,101192.0
20050104:2300,18.03,82.6,0.0,-0.0,0.0,338.0,1.93,66.0,101242.0
20050105:0000,18.0,81.15,0.0,-0.0,0.0,336.2,2.14,73.0,101282.0
20050105:0100,20.55,69.8,158.0,330.3,84.0,337.25,2.0,80.0,101352.0
20050105:0200,23.96,56.75,387.0,594.8,131.0,343.2,2.62,83.0,101422.0
20050105:0300,26.53,49.2,595.0,746.88,146.0,352.2,3.1,81.0,101442.0
20050105:0400,28.55,42.85,742.0,797.56,164.0,360.4,3.31,79.0,101392.0
20050105:0500,29.94,37.05,818.0,797.37,186.0,367.2,3.17,76.0,101302.0
20050105:0600,30.78,33.75,837.0,831.01,172.0,371.2,3.03,68.0,101172.0
20050105:0700,31.19,33.75,767.0,793.77,174.0,377.8,2.76,59.0,101022.0
20050105:0800,31.34,32.7,633.0,741.28,161.0,378.6,2.62,59.0,100932.0
20050105:0900,31.13,32.55,430.0,574.72,156.0,377.4,2.48,63.0,100912.0
20050105:1000,30.35,35.9,220.0,435.22,99.0,374.6,2.14,72.0,100912.0
20050105:1100,28.6,42.5,16.0,36.98,14.0,369.8,2.07,88.0,101002.0
20050105:1200,26.73,48.0,0.0,-0.0,0.0,363.2,2.14,95.0,101012.0
20050105:1300,25.61,51.45,0.0,-0.0,0.0,360.0,2.07,101.0,101132.0
20050105:1400,24.59,55.0,0.0,-0.0,0.0,358.2,2.0,102.0,101182.0
20050105:1500,23.63,59.0,0.0,-0.0,0.0,357.0,1.93,95.0,101232.0
20050105:1600,22.65,63.65,0.0,-0.0,0.0,356.6,1.93,86.0,101232.0
20050105:1700,21.78,68.15,0.0,-0.0,0.0,355.8,1.86,79.0,101242.0
20050105:1800,21.0,72.15,0.0,-0.0,0.0,354.0,1.72,65.0,101242.0
20050105:1900,20.55,76.9,0.0,-0.0,0.0,357.4,1.59,21.0,101202.0
20050105:2000,20.03,78.25,0.0,-0.0,0.0,354.6,1.66,13.0,101162.0
20050105:2100,19.64,78.5,0.0,-0.0,0.0,353.0,1.66,10.0,101172.0
20050105:2200,19.29,78.25,0.0,-0.0,0.0,349.8,1.72,14.0,101182.0
20050105:2300,19.02,77.4,0.0,-0.0,0.0,347.6,1.93,24.0,101282.0
20050106:0000,18.82,75.75,0.0,-0.0,0.0,344.0,1.93,39.0,101302.0
20050106:0100,21.11,65.9,163.0,371.88,80.0,343.65,1.59,54.0,101412.0
20050106:0200,24.27,53.15,399.0,665.23,113.0,349.2,2.21,66.0,101452.0
20050106:0300,26.66,47.6,601.0,775.2,135.0,357.4,2.62,68.0,101482.0
20050106:0400,28.68,42.65,755.0,842.58,144.0,365.8,2.76,68.0,101432.0
20050106:0500,30.12,37.7,828.0,827.95,171.0,373.6,2.76,67.0,101322.0
20050106:0600,30.9,34.45,839.0,832.09,172.0,378.6,2.55,60.0,101202.0
20050106:0700,30.99,35.35,769.0,794.6,174.0,383.6,2.62,55.0,101062.0
20050106:0800,31.08,34.75,635.0,742.06,161.0,383.2,2.69,59.0,100962.0
20050106:0900,30.85,35.05,454.0,684.81,126.0,382.2,2.83,65.0,100942.0
20050106:1000,30.11,37.85,238.0,552.99,83.0,379.4,2.69,72.0,100952.0
